"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"100.8","117.0","146.4","12.0","-5.5","8.6","-12.0","112.9","1.30","24.6","-6.9","-3.8",0,"4369","-6.9"
"7i",,,"47.1","84.4","114.8","10.9","-6.5","2.5","-4.5","106.6","1.08","12.6","-4.7","-5.3",0,"915","4.4"
"7i",,,"118.5","132.0","158.4","13.2","-4.3","12.7","-9.1","118.2","1.34","30.9","-7.0","-4.2",0,"4878","-2.4"
"7i",,,"109.9","128.9","150.1","14.0","-6.6","10.1","-13.7","116.4","1.29","25.4","-5.2","-5.2",0,"3018","-4.5"
"7i",,,"120.3","138.0","155.7","15.1","-5.3","12.4","-11.9","120.0","1.30","28.4","-4.4","-4.2",0,"3026","-3.6"
"7i",,,"116.5","131.1","154.3","14.5","-4.7","12.7","-2.2","118.2","1.30","30.7","-7.7","-9.3",0,"4184","8.7"
"7i",,,"127.3","140.8","160.4","16.4","-2.0","16.8","0.7","118.2","1.36","36.0","-5.4","-3.3",0,"4247","4.2"
"7i",,,"107.8","122.4","146.7","15.8","-2.6","12.5","2.8","120.0","1.22","31.8","-6.2","-5.6",0,"4575","10.2"
"7i",,,"93.4","114.2","139.3","14.4","-7.8","7.8","-8.1","116.4","1.20","22.1","-4.9","-9.0",0,"2350","10.5"
"7i",,,"133.5","146.2","167.1","16.4","-3.7","19.0","-2.7","122.7","1.36","38.7","-5.6","-4.5",0,"4778","4.5"
"7i",,,"114.9","133.1","150.1","16.3","-2.4","12.4","-0.8","127.2","1.18","28.9","-2.8","-3.3",0,"2868","4.8"
"7i",,,"118.0","129.6","155.1","17.5","-0.2","16.6","10.5","121.8","1.27","37.5","-7.2","-6.3",0,"5136","12.4"
"7i",,,"140.1","154.3","171.4","15.2","-3.3","18.3","-7.5","123.6","1.39","36.5","-6.4","-3.3",0,"4142","-1.2"
"7i",,,"124.0","135.7","160.8","16.6","-1.5","17.3","6.9","124.5","1.29","37.7","-5.5","-4.3",0,"5207","10.4"
