"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"77.0","95.4","123.1","15.2","-2.5","6.9","-0.6","103.9","1.18","23.2","-6.2","-5.3",0,"3199","6.6"
"7i",,,"24.2","86.5","120.1","4.4","-4.0","0.5","-1.1","105.7","1.14","4.8","-7.8","-12.8",0,"1117","19.3"
"7i",,,"83.9","102.0","124.9","18.3","-7.6","8.8","-12.3","101.3","1.23","26.1","-3.8","-4.3",0,"2150","-8.1"
"7i",,,"5.7","77.4","134.7","0.5","-4.0","0.0","-0.3","105.7","1.27","0.5","-11.3","-4.8",0,"2674","14.9"
"7i",,,"11.6","59.7","93.2","2.8","8.6","0.1","1.9","104.8","0.89","3.0","-2.8","-4.6",0,"6422","-0.7"
"7i",,,"66.5","90.2","124.8","10.2","-9.5","3.9","-10.4","100.4","1.24","16.0","-10.6","-7.4",0,"3749","-0.7"
"7i",,,"62.8","88.5","129.2","7.8","-6.6","2.8","-5.6","103.9","1.24","12.4","-7.7","-6.2",0,"3885","4.5"
"7i",,,"104.9","118.3","145.7","14.8","-8.7","11.4","-18.7","109.3","1.33","30.3","0.0","0.0",-1,"4755","-6.8"
"7i",,,"90.1","102.3","129.5","18.6","-5.9","11.4","-11.3","104.8","1.24","32.5","-3.0","-1.9",0,"4722","-6.9"
"7i",,,"87.6","100.5","125.0","20.0","-3.8","11.3","-4.6","104.8","1.19","32.4","-3.7","-2.6",0,"3781","0.5"
"7i",,,"88.0","100.4","127.4","18.8","-5.8","11.0","-11.7","98.6","1.29","32.1","-3.1","-0.2",0,"4535","-8.8"
"7i",,,"87.9","104.0","124.5","20.5","-3.4","11.0","-3.1","102.1","1.22","30.7","-2.3","-4.9",0,"2699","3.0"
"7i",,,"92.2","102.9","131.6","18.7","-2.9","12.1","-4.3","104.8","1.26","33.9","-5.0","-1.6",0,"5391","-1.7"
"7i",,,"89.0","103.1","128.6","17.8","-5.0","10.3","-9.1","101.3","1.27","30.1","-3.6","-2.7",0,"4016","-5.8"
"7i",,,"93.1","102.5","131.6","20.0","-1.8","13.3","-2.2","102.1","1.29","36.2","-5.7","-2.7",0,"5771","-0.8"
"7i",,,"77.4","89.1","117.4","20.7","-0.9","10.3","3.0","103.0","1.14","33.0","-9.2","-4.0",0,"4921","9.5"
"7i",,,"81.8","94.8","121.5","19.1","-3.6","10.0","-3.2","103.9","1.17","30.9","-7.6","-6.5",0,"4238","2.6"
"7i",,,"88.1","98.4","127.4","19.7","-4.5","12.0","-4.0","105.7","1.21","34.5","-6.9","-7.3",0,"5578","4.2"
"7i",,,"83.3","96.9","126.5","16.2","-7.7","8.8","-9.7","104.8","1.21","28.0","-8.9","-5.5",0,"4762","1.4"
"7i",,,"93.9","103.7","137.2","15.4","-6.3","10.5","-6.0","110.2","1.25","30.6","-10.2","-9.4",0,"6351","6.1"
"7i",,,"106.6","118.7","146.0","16.3","-8.0","13.2","-14.8","108.4","1.35","33.7","-4.7","-5.0",0,"5282","-2.0"
"7i",,,"94.3","105.5","136.0","16.3","-6.2","10.9","-9.4","112.0","1.21","31.2","-9.0","-5.8",0,"5569","-0.6"
"7i",,,"88.0","99.7","126.1","20.7","-3.4","12.3","-0.3","107.5","1.17","34.9","-8.4","-8.1",0,"4774","8.9"
"7i",,,"102.1","112.4","138.9","20.1","-6.7","15.3","-11.4","107.5","1.29","37.9","-6.0","-6.9",0,"5217","-1.1"
"7i",,,"89.5","100.0","128.9","19.4","-3.2","12.0","-1.2","110.2","1.17","34.3","-9.4","-3.8",0,"5447","5.9"
"7i",,,"95.5","105.6","134.4","19.0","-4.3","13.0","-3.7","111.1","1.21","35.2","-9.2","-6.1",0,"5562","4.4"
"7i",,,"90.5","101.7","128.6","20.8","-3.4","13.0","0.4","112.9","1.14","35.9","-9.1","-5.3",0,"5024","9.8"
"7i",,,"75.5","95.1","123.6","17.4","-6.1","7.0","-12.8","104.8","1.18","22.9","-1.3","-4.2",0,"1660","-31.1"
"7i",,,"97.5","110.5","137.8","16.7","-5.6","11.6","-6.2","113.8","1.21","31.9","-7.4","-6.5",0,"5069","4.1"
"7i",,,"102.7","115.0","141.8","17.1","-6.0","13.0","-6.6","114.7","1.24","33.6","-5.7","-8.4",0,"5104","5.0"
"7i",,,"82.6","102.1","137.0","10.2","-3.9","5.5","-1.8","110.2","1.24","19.4","-8.2","-6.0",0,"4724","7.8"
"7i",,,"93.0","103.1","133.5","17.8","-2.3","11.8","-0.9","111.1","1.20","33.3","-5.1","-4.4",0,"5928","3.4"
"7i",,,"92.7","107.2","132.3","16.8","-8.3","10.1","-12.7","108.4","1.22","28.4","-6.1","-7.1",0,"3538","-1.0"
"7i",,,"32.6","48.9","110.5","7.1","2.5","1.2","-0.8","112.9","0.98","9.1","-1.9","-10.2",0,"9651","-46.4"
"7i",,,"93.5","111.7","137.1","15.5","-11.5","8.9","-25.1","112.0","1.22","25.3","-3.4","-5.7",0,"3001","-19.8"
"7i",,,"101.6","111.2","140.9","18.2","-5.1","14.0","-3.8","113.8","1.24","36.1","-7.9","-9.4",0,"6229","6.8"
"7i",,,"108.2","118.1","147.1","17.3","-6.0","14.8","-8.1","112.0","1.31","36.4","-8.0","-6.8",0,"6117","2.8"
"7i",,,"88.1","98.4","128.7","18.8","-2.6","11.4","1.1","112.9","1.14","33.4","-8.2","-4.4",0,"5840","9.1"
"7i",,,"105.6","114.7","142.7","20.4","-6.0","16.8","-8.1","111.1","1.28","39.8","-7.6","-6.7",0,"6000","2.6"
"7i",,,"106.9","116.5","146.8","16.7","-6.0","14.2","-8.6","112.0","1.31","35.7","-9.5","-6.2",0,"6435","2.0"
"7i",,,"96.6","110.8","136.0","16.9","-7.7","11.4","-12.6","112.0","1.21","31.2","-7.1","-5.6",0,"4537","-1.7"
"7i",,,"89.3","102.3","130.5","17.2","-3.5","10.4","-2.6","111.1","1.17","30.7","-6.9","-4.4",0,"4998","3.8"
"7i",,,"83.7","96.8","124.0","18.6","-6.4","10.1","-4.1","106.6","1.16","30.7","-9.1","-10.1",0,"4391","10.9"
"7i",,,"109.1","118.4","149.4","16.3","-8.0","14.4","-15.8","114.7","1.30","35.8","-7.8","-7.9",0,"6573","-2.6"
"7i",,,"96.9","107.0","135.3","19.4","-6.5","13.7","-6.9","114.7","1.18","36.2","-9.5","-9.0",0,"5667","5.2"
"7i",,,"103.5","113.1","140.9","19.9","-3.7","15.8","-5.3","111.1","1.27","38.6","-3.8","-5.2",0,"5854","0.2"
"7i",,,"110.7","119.6","148.4","19.2","-5.8","17.3","-6.4","117.3","1.26","39.9","-7.5","-9.6",0,"6390","4.8"
"7i",,,"112.5","124.8","147.3","18.6","-8.7","15.7","-22.6","115.6","1.27","36.5","-2.7","-4.9",0,"4297","-10.3"
"7i",,,"105.3","115.8","143.4","18.2","-5.0","14.7","-6.4","115.6","1.24","36.5","-6.6","-8.7",0,"5684","2.4"
