"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"70.9","96.7","122.9","15.0","-3.6","5.5","-3.5","105.7","1.16","19.3","-4.6","-5.2",0,"1430","0.5"
"7i",,,"106.3","120.8","148.3","13.6","-1.0","10.6","5.2","112.0","1.32","28.2","-7.4","-4.0",0,"4496","9.7"
"7i",,,"121.4","136.6","156.3","15.1","-2.1","13.5","-0.8","113.8","1.37","30.8","-5.1","-3.3",0,"3608","3.0"
"7i",,,"108.2","126.9","152.6","12.0","-2.6","8.7","-0.7","117.3","1.30","23.0","-7.4","-5.6",0,"3282","5.5"
"7i",,,"121.7","138.0","162.2","11.8","-4.5","11.0","-4.7","116.4","1.39","26.7","-6.6","-5.5",0,"3864","4.9"
"7i",,,"115.6","131.7","154.9","13.3","-3.6","11.1","-3.3","112.0","1.38","27.5","-7.4","-5.5",0,"3733","4.0"
"7i",,,"128.2","143.2","162.8","14.6","-0.0","14.5","8.0","120.9","1.35","32.0","-7.1","-3.9",0,"3842","8.1"
"7i",,,"120.2","134.8","158.0","14.0","0.3","13.0","10.0","116.4","1.36","30.8","-7.6","-4.2",0,"4202","10.7"
"7i",,,"124.3","139.1","162.3","13.0","-4.8","12.8","-2.7","117.3","1.38","30.0","-8.4","-7.1",0,"4137","8.1"
"7i",,,"113.0","134.1","160.3","10.6","-7.2","8.1","-17.4","110.8","1.45","21.0","-9.0","-5.6",0,"3123","-8.8"
"7i",,,"38.4","48.3","75.7","27.1","-29.5","5.7","-18.5","118.2","0.64","32.4","-5.1","-6.2",0,"3388","0.0"
"7i",,,"66.7","86.9","121.5","12.5","-7.1","4.5","-7.4","112.9","1.08","17.6","-5.3","-5.9",0,"2658","0.2"
"7i",,,"130.5","145.1","164.3","14.5","-0.4","15.1","3.3","117.3","1.40","32.8","-5.6","-2.1",0,"3946","3.0"
"7i",,,"124.5","142.2","165.5","11.1","-5.3","10.5","-9.2","115.6","1.43","25.2","-7.5","-4.9",0,"3589","1.0"
