"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"107.8","122.3","148.4","14.7","-2.0","11.3","7.2","114.7","1.29","29.0","-8.4","-8.5",0,"4098","16.3"
"7i",,,"105.5","122.1","147.8","13.3","-3.9","9.5","-1.4","112.9","1.31","25.4","-8.6","-7.4",0,"3578","8.7"
"7i",,,"58.4","90.9","121.9","12.7","-3.5","3.7","-0.1","112.0","1.09","15.3","-5.5","-6.6",0,"1153","31.9"
"7i",,,"105.0","117.9","147.5","15.3","-2.8","11.8","7.3","118.2","1.25","31.2","-9.3","-10.1",0,"5068","18.8"
"7i",,,"117.5","131.2","156.7","15.1","-2.8","13.6","9.2","120.0","1.31","32.3","-8.8","-9.2",0,"4520","18.9"
"7i",,,"108.7","124.0","147.8","14.9","-3.6","11.4","0.5","111.1","1.33","29.0","-7.5","-6.5",0,"3883","10.1"
"7i",,,"98.0","113.8","139.8","15.0","-2.8","9.6","2.2","110.2","1.27","26.5","-6.6","-7.0",0,"3528","12.7"
"7i",,,"67.3","83.3","124.2","13.0","3.6","5.1","13.1","104.8","1.18","20.4","-8.7","-7.2",0,"4980","34.7"
"7i",,,"102.5","117.8","144.2","14.6","-4.9","10.5","-0.3","112.0","1.29","28.5","-9.2","-7.0",0,"4389","13.2"
"7i",,,"46.4","60.9","102.5","14.1","-8.7","3.5","-10.9","112.0","0.91","19.2","-3.4","-7.2",0,"6970","-37.6"
"7i",,,"51.3","78.8","125.9","7.1","-4.6","1.9","-0.3","108.4","1.16","10.1","-9.6","-7.1",0,"3791","25.8"
"7i",,,"70.3","90.7","123.7","14.6","-3.6","5.5","1.7","112.9","1.10","19.7","-6.0","-8.3",0,"2232","28.6"
"7i",,,"79.6","97.3","130.4","12.5","-4.1","6.1","-0.5","103.9","1.25","20.9","-7.4","-5.5",0,"3898","13.4"
"7i",,,"95.1","110.9","140.6","14.9","-3.7","9.4","6.9","112.9","1.25","27.1","-8.8","-12.5",0,"4301","25.8"
"7i",,,"96.4","111.4","144.2","14.2","-0.9","9.2","13.4","117.3","1.23","26.5","-7.4","-8.6",0,"4526","29.2"
"7i",,,"95.0","111.9","143.3","12.0","-6.2","7.5","-3.3","111.1","1.29","22.3","-10.4","-10.6",0,"3822","13.4"
"7i",,,"108.2","124.0","147.2","15.5","-3.1","11.4","4.2","119.1","1.24","28.9","-5.9","-7.8",0,"3581","15.5"
"7i",,,"77.8","97.5","129.3","13.7","-3.4","6.1","2.4","112.0","1.15","20.5","-6.4","-8.4",0,"2945","22.8"
"7i",,,"106.9","119.2","149.0","15.9","1.2","12.6","16.5","113.8","1.31","32.5","-10.2","-7.3",0,"5138","21.1"
"7i",,,"108.4","123.9","145.8","15.8","-3.8","12.0","-5.4","107.5","1.36","30.1","-6.2","-4.4",0,"3815","0.9"
"7i",,,"94.3","112.5","140.2","13.2","-6.1","7.8","-5.4","107.5","1.30","22.8","-7.9","-9.1",0,"3251","8.6"
"7i",,,"55.5","82.5","116.4","13.7","-6.1","3.8","-1.7","110.2","1.06","16.6","-5.6","-9.5",0,"1390","39.5"
