"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"75.2","101.4","145.0","7.0","-2.4","3.2","2.6","112.9","1.28","12.1","-4.7","-5.6",0,"3617","18.8"
"7i",,,"84.4","107.8","143.0","8.4","-7.6","4.7","-7.2","109.3","1.31","16.5","-4.8","-7.8",0,"4256","8.2"
"7i",,,"113.3","126.3","152.0","14.8","-6.9","12.9","-12.6","110.2","1.38","31.8","-4.4","-6.6",0,"4700","-0.6"
"7i",,,"127.5","139.3","165.2","15.2","-5.3","17.0","-4.3","120.0","1.38","37.1","-6.7","-7.9",0,"5526","6.5"
"7i",,,"105.8","119.2","145.9","15.5","-5.1","12.2","-8.3","115.6","1.26","31.8","-4.8","-5.4",0,"5024","-0.3"
"7i",,,"97.4","117.4","144.1","13.1","-7.2","7.6","-13.1","118.2","1.22","21.3","-3.5","-5.1",0,"2626","-5.4"
"7i",,,"113.3","123.6","153.5","16.9","-2.3","15.2","10.4","117.3","1.31","36.2","-6.1","-8.3",0,"5730","18.9"
"7i",,,"123.5","134.7","161.1","16.3","-4.8","17.1","-1.1","119.1","1.35","37.8","-5.0","-8.8",0,"5556","8.9"
"7i",,,"107.0","122.2","146.7","15.6","-3.3","11.9","4.7","117.3","1.25","30.5","-4.9","-7.9",0,"4257","16.1"
"7i",,,"124.6","138.6","157.8","16.4","-5.4","16.0","-7.4","118.2","1.33","34.8","-4.5","-7.2",0,"4056","3.5"
"7i",,,"103.6","122.6","142.7","16.1","-7.6","10.4","-7.9","119.1","1.20","26.6","-3.2","-8.7",0,"2706","10.4"
"7i",,,"113.2","128.3","152.7","13.8","-7.6","11.3","-8.1","120.9","1.26","28.3","-6.0","-8.9",0,"3890","8.8"
"7i",,,"116.3","127.7","154.6","17.1","-4.8","16.0","2.1","120.0","1.29","37.0","-5.6","-8.2",0,"5436","13.9"
"7i",,,"109.8","121.5","151.4","16.7","-1.5","13.8","14.1","121.8","1.24","34.1","-5.5","-10.3",0,"5163","24.1"
"7i",,,"89.9","116.1","139.0","14.9","-7.1","7.2","-10.4","120.0","1.16","20.2","-0.9","-7.7",0,"1381","-1.6"
"7i",,,"123.6","133.8","160.7","18.2","-1.5","19.1","11.0","119.1","1.35","40.4","-4.4","-7.1",0,"5603","14.9"
"7i",,,"115.7","130.1","152.1","16.3","-2.4","13.7","6.9","120.9","1.26","32.0","-4.3","-7.5",0,"3831","15.7"
"7i",,,"116.2","128.6","155.8","14.9","-5.2","13.9","-2.2","121.8","1.28","33.5","-5.0","-7.5",0,"5211","9.5"
"7i",,,"77.5","109.2","128.8","16.2","-5.0","6.3","-4.7","118.2","1.09","19.8","-0.1","-5.6",0,"703","8.9"
"7i",,,"117.2","128.6","159.2","14.3","-3.4","13.9","6.9","118.2","1.35","33.6","-8.0","-10.2",0,"5813","16.4"
"7i",,,"124.3","135.7","161.1","17.1","-1.7","17.8","9.6","120.9","1.33","38.4","-5.4","-7.0",0,"5169","14.0"
"7i",,,"124.6","137.3","161.6","16.2","-3.4","16.6","6.3","123.6","1.31","36.6","-6.3","-9.5",0,"4944","14.5"
"7i",,,"111.7","126.4","149.3","16.3","-2.3","12.7","7.5","123.6","1.21","30.7","-4.6","-7.6",0,"3651","18.0"
"7i",,,"125.9","138.5","161.6","16.5","-2.3","17.3","5.9","121.8","1.33","37.3","-5.7","-6.9",0,"4895","11.1"
"7i",,,"115.2","129.7","152.8","15.2","-4.0","12.8","2.2","120.9","1.26","30.8","-5.1","-7.9",0,"3961","13.4"
"7i",,,"119.7","131.3","159.8","15.8","-3.1","15.5","9.6","124.5","1.28","35.9","-5.6","-8.2",0,"5526","18.6"
"7i",,,"121.6","131.1","160.8","17.0","-1.9","17.6","11.7","127.2","1.26","39.0","-3.7","-7.6",0,"6067","17.0"
"7i",,,"118.7","134.6","153.6","16.4","-4.9","13.5","0.4","125.4","1.23","30.8","-4.7","-8.9",0,"3232","14.4"
"7i",,,"122.6","133.5","160.2","16.0","-1.9","16.7","0.7","127.2","1.26","37.3","-3.9","-4.0",0,"5611","3.8"
"7i",,,"131.8","145.1","164.0","16.8","-3.9","18.1","2.3","129.9","1.26","37.0","-3.0","-7.0",0,"4119","10.9"
"7i",,,"145.4","159.4","174.5","16.6","-8.0","20.1","-30.2","129.0","1.35","37.8","-2.8","-4.9",0,"3715","-11.8"
"7i",,,"126.3","143.6","156.9","17.3","-5.2","14.9","-11.6","126.3","1.24","31.5","-1.1","-5.5",0,"2757","-2.6"
"7i",,,"136.8","148.8","170.7","17.3","-1.6","21.2","4.8","123.6","1.38","41.2","-3.4","-4.6",0,"5007","6.8"
"7i",,,"145.6","158.5","177.2","16.5","-2.5","22.2","3.2","129.9","1.36","41.0","-4.3","-4.3",0,"4641","6.9"
"7i",,,"121.4","134.7","156.1","17.2","-1.2","16.3","8.9","129.0","1.21","36.1","-3.5","-5.7",0,"4407","12.9"
"7i",,,"133.4","143.4","169.9","18.8","-0.6","22.7","15.8","129.0","1.32","43.6","-6.0","-6.8",0,"5613","15.5"
"7i",,,"88.4","108.9","134.6","14.9","-5.0","7.5","-3.2","121.8","1.10","22.2","-3.3","-5.3",0,"2324","11.3"
"7i",,,"125.7","136.5","164.6","16.1","-1.8","17.4","12.2","125.4","1.31","38.0","-5.8","-9.1",0,"5669","16.7"
"7i",,,"136.1","148.9","169.4","15.8","-3.2","18.9","-1.2","124.5","1.36","38.1","-5.6","-5.4",0,"4660","4.8"
"7i",,,"126.9","141.2","160.2","16.1","-5.4","16.0","-3.1","123.6","1.30","34.5","-4.9","-9.1",0,"3983","8.9"
"7i",,,"104.6","113.8","150.6","15.1","-2.7","12.2","11.3","121.8","1.24","32.5","-7.8","-9.7",0,"6842","24.3"
"7i",,,"104.6","122.5","143.7","17.6","-2.7","11.1","6.3","126.3","1.14","27.5","-1.8","-7.7",0,"2415","24.2"
"7i",,,"135.0","148.0","167.0","16.6","-2.6","18.9","4.9","126.3","1.32","37.9","-5.2","-6.5",0,"4267","10.0"
"7i",,,"128.5","137.4","167.4","18.7","0.1","21.3","21.2","127.2","1.32","42.9","-6.7","-9.8",0,"6090","20.7"
"7i",,,"103.1","115.5","149.8","13.5","-4.4","10.5","5.7","123.6","1.21","29.2","-7.2","-8.9",0,"6037","21.0"
"7i",,,"127.9","140.6","164.1","15.3","-6.4","16.4","-3.5","122.7","1.34","35.7","-6.0","-10.4",0,"4801","10.5"
"7i",,,"122.0","132.0","162.1","16.2","0.3","16.8","17.1","120.0","1.35","37.7","-6.0","-7.7",0,"5989","18.1"
"7i",,,"124.4","135.9","163.6","16.3","-1.8","17.0","14.0","122.7","1.33","37.5","-6.5","-8.7",0,"5419","19.6"
"7i",,,"103.4","115.1","154.0","12.6","-3.2","10.1","10.8","125.4","1.23","28.5","-7.7","-10.0",0,"6912","25.8"
"7i",,,"90.6","104.7","136.1","16.9","-3.3","9.9","9.6","120.9","1.13","29.1","-4.4","-10.8",0,"4563","32.5"
"7i",,,"109.5","124.0","145.9","16.9","-5.6","12.5","-1.4","122.7","1.19","30.5","-3.8","-8.5",0,"3356","14.1"
"7i",,,"126.1","135.2","165.6","17.0","-0.9","19.1","14.1","123.6","1.34","40.6","-6.0","-8.3",0,"6479","15.8"
"7i",,,"126.2","137.8","163.9","16.7","-2.4","17.8","11.3","124.5","1.32","38.2","-6.3","-8.8",0,"5209","17.5"
"7i",,,"134.0","145.3","168.7","18.0","-4.1","21.3","3.2","123.6","1.36","41.7","-4.6","-7.9",0,"5100","11.3"
"7i",,,"59.8","81.6","116.0","16.1","-5.8","4.9","0.5","120.9","0.96","20.1","-2.9","-8.9",0,"1851","50.6"
"7i",,,"124.4","137.1","161.7","16.8","-2.5","16.7","13.7","122.7","1.32","36.6","-5.6","-10.6",0,"4712","21.6"
"7i",,,"101.6","111.3","146.0","17.0","-1.4","12.7","15.1","121.8","1.20","33.8","-7.1","-12.6",0,"6215","28.4"
"7i",,,"98.0","120.9","158.5","7.9","-3.3","5.6","6.6","122.7","1.29","17.8","-7.5","-8.6",0,"4653","23.7"
"7i",,,"120.7","131.3","160.5","14.9","-5.4","15.3","-1.4","122.7","1.31","35.5","-4.6","-9.5",0,"5875","10.4"
"7i",,,"143.1","154.9","174.6","18.2","-4.8","23.9","-6.5","126.3","1.38","43.2","-3.3","-6.9",0,"4746","3.4"
"7i",,,"127.8","140.0","162.3","17.7","-3.7","19.0","3.4","120.0","1.35","39.4","-5.0","-9.9",0,"4850","11.3"
