"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"19.1","76.4","113.9","3.6","-4.7","0.3","-1.2","97.7","1.17","3.8","-8.1","-13.1",0,"1599","8.5"
"7i",,,"89.1","101.8","136.4","13.6","0.2","8.5","-4.2","111.1","1.23","26.7","-10.1","-6.9",0,"6186","-12.2"
"7i",,,"100.2","113.6","149.8","10.6","-5.6","8.5","-8.1","109.3","1.37","25.4","-9.6","-6.7",0,"6624","0.7"
"7i",,,"94.3","111.0","144.2","10.9","-5.4","7.3","-5.9","106.6","1.35","22.6","-10.2","-7.3",0,"4906","3.8"
"7i",,,"51.1","61.7","95.8","19.1","-10.8","5.5","-9.9","109.3","0.88","26.5","-5.7","-9.9",0,"6391","-5.6"
"7i",,,"95.1","112.6","150.1","8.6","-8.9","6.2","-14.5","115.6","1.30","20.3","-11.0","-9.0",0,"5647","-1.9"
"7i",,,"91.4","107.4","145.0","10.1","-2.2","6.8","3.5","111.1","1.30","22.2","-12.4","-6.1",0,"6249","12.9"
"7i",,,"37.7","90.2","141.7","2.1","-2.1","0.5","0.7","112.0","1.27","3.3","-11.8","-7.3",0,"4976","23.1"
"7i",,,"61.0","84.2","120.6","11.2","-2.7","3.6","-2.2","112.0","1.08","15.2","-6.3","-3.1",0,"2516","-0.3"
"7i",,,"62.8","86.1","120.9","11.7","-6.2","3.9","-6.6","105.7","1.14","16.0","-8.2","-6.4",0,"2477","-4.0"
"7i",,,"82.3","105.4","138.0","9.9","-6.0","5.1","-5.5","112.0","1.23","17.6","-9.0","-4.2",0,"3803","6.4"
"7i",,,"75.3","94.7","122.8","14.6","-5.1","6.4","-6.2","109.3","1.12","22.1","-5.5","-5.2",0,"3133","-1.4"
"7i",,,"103.6","119.9","146.1","13.3","-5.2","9.4","-10.7","121.8","1.20","25.6","-6.9","-4.5",0,"3775","-4.8"
"7i",,,"36.5","73.7","113.7","10.2","-9.1","1.7","-7.4","109.3","1.04","11.4","-3.2","-2.4",0,"1183","-70.7"
"7i",,,"81.7","99.1","138.2","9.3","-2.0","5.3","0.1","111.1","1.24","19.1","-8.4","-3.6",0,"5937","5.1"
"7i",,,"44.7","82.8","114.1","10.5","-5.9","2.2","-4.9","103.9","1.10","12.1","-4.8","-3.2",0,"885","-16.6"
"7i",,,"82.7","94.7","131.6","13.5","-4.6","7.6","-0.7","103.0","1.28","25.6","-12.0","-10.8",0,"6741","12.6"
"7i",,,"118.1","131.1","155.9","14.7","-2.2","13.8","-1.4","116.4","1.34","32.7","-7.9","-4.6",0,"4725","2.2"
"7i",,,"98.3","111.8","145.3","12.0","-1.2","8.7","1.1","111.1","1.31","25.7","-8.2","-3.1",0,"5306","3.7"
"7i",,,"82.9","100.2","129.8","13.6","-2.3","7.1","-1.0","113.8","1.14","23.3","-7.3","-4.0",0,"4078","3.9"
"7i",,,"104.3","120.9","148.7","12.3","-4.9","8.8","-3.9","111.1","1.34","24.1","-10.2","-9.3",0,"3706","7.2"
"7i",,,"91.8","106.5","143.6","11.5","-0.1","7.5","9.8","114.7","1.25","23.7","-7.8","-3.7",0,"5805","19.3"
"7i",,,"93.3","108.9","134.6","15.8","-2.8","9.6","0.1","103.9","1.30","27.5","-8.8","-7.3",0,"3830","8.0"
"7i",,,"7.2","49.2","89.2","2.1","-12.2","0.1","-1.4","106.6","0.84","2.2","2.1","-5.5",0,"10363","26.8"
"7i",,,"107.0","116.1","148.8","16.4","1.3","13.9","12.9","114.7","1.30","35.4","-7.6","-6.4",0,"6879","13.7"
"7i",,,"108.8","121.7","152.8","12.4","-1.6","10.6","-0.8","114.7","1.33","28.5","-9.1","-5.4",0,"5383","1.3"
"7i",,,"55.6","83.2","129.2","6.4","0.2","2.0","3.7","113.8","1.14","10.3","-8.9","-8.5",0,"4875","17.6"
"7i",,,"88.4","101.0","138.3","12.1","-0.5","7.7","2.8","112.0","1.23","25.1","-8.8","-5.5",0,"7119","5.5"
"7i",,,"72.1","92.5","137.7","7.5","-3.9","3.5","0.3","108.4","1.27","14.4","-13.3","-12.6",0,"5552","15.5"
"7i",,,"113.0","125.0","149.8","17.5","-1.7","15.3","3.9","113.8","1.32","36.0","-7.1","-7.0",0,"4941","8.3"
"7i",,,"110.1","124.9","156.0","11.0","-5.7","9.4","-13.6","119.1","1.31","25.7","-7.4","-5.8",0,"4834","-6.3"
"7i",,,"53.3","66.3","103.0","15.1","-15.0","4.6","-12.4","115.6","0.89","21.9","-2.4","-8.7",0,"5873","4.5"
"7i",,,"74.7","103.8","149.9","4.4","-2.0","2.4","-0.2","117.3","1.28","10.2","-7.3","-4.9",0,"5190","5.4"
"7i",,,"108.9","123.2","153.2","12.0","-6.0","9.9","-16.1","115.6","1.33","26.6","-7.1","-5.7",0,"4649","-9.9"
"7i",,,"124.0","138.1","157.4","16.2","-2.7","15.6","-3.4","120.0","1.31","34.3","-5.3","-2.1",0,"4016","1.3"
"7i",,,"125.5","139.1","161.5","15.7","-2.3","15.7","-16.6","120.9","1.34","34.7","-5.6","-0.9",0,"4361","-16.2"
"7i",,,"111.3","129.6","146.9","17.2","-1.3","11.7","-2.3","122.7","1.20","27.3","0.2","0.7",0,"2222","-2.2"
"7i",,,"105.4","126.0","147.7","14.8","-1.4","9.2","-1.9","120.9","1.22","23.1","-3.8","0.9",0,"2198","-1.6"
"7i",,,"110.4","121.7","152.9","14.0","4.2","12.8","10.9","120.9","1.26","32.9","-6.1","-0.5",0,"6625","2.2"
"7i",,,"109.6","120.0","146.6","18.6","5.9","15.8","16.7","117.3","1.25","37.6","-5.6","0.4",0,"5217","6.0"
