"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"108.3","120.2","147.8","16.6","-1.2","13.6","7.0","117.3","1.26","34.1","-5.0","-6.9",0,"5159","12.3"
"7i",,,"92.5","104.3","133.5","18.8","2.9","11.8","16.5","104.8","1.27","33.1","-7.9","-4.0",0,"4844","23.1"
"7i",,,"73.5","106.4","129.2","15.3","-3.5","5.5","-5.5","114.7","1.13","18.2","-0.2","-4.5",0,"537","-18.1"
"7i",,,"129.2","141.6","163.1","17.2","-4.4","18.8","-3.7","120.9","1.35","38.9","-5.3","-6.9",0,"4796","5.1"
"7i",,,"83.1","102.3","131.4","14.7","-1.8","7.2","5.7","111.1","1.18","22.6","-6.3","-8.1",0,"3011","24.1"
"7i",,,"39.5","75.7","128.5","4.1","-3.0","0.9","-4.1","125.4","1.02","6.2","-4.6","-10.7",0,"7560","-30.5"
"7i",,,"110.2","122.5","149.6","16.9","-0.6","14.1","11.9","116.4","1.29","34.5","-6.5","-7.3",0,"5003","18.0"
"7i",,,"49.8","66.6","122.1","10.7","-7.1","2.9","0.9","113.8","1.07","15.8","-1.5","-5.0",0,"13724","50.7"
"7i",,,"132.1","143.5","167.7","17.7","-0.2","20.6","14.5","126.3","1.33","41.1","-6.6","-7.2",0,"5175","13.9"
"7i",,,"119.0","130.9","157.0","16.5","-2.0","15.7","8.4","121.8","1.29","36.0","-7.5","-7.2",0,"5088","14.6"
"7i",,,"98.8","117.8","142.9","14.1","-4.3","8.6","-0.7","114.7","1.25","23.7","-6.6","-7.2",0,"2954","13.2"
"7i",,,"83.8","93.9","133.0","15.5","1.4","8.6","14.9","115.6","1.15","27.7","-9.7","-10.6",0,"6328","30.6"
"7i",,,"115.0","127.9","152.8","17.1","-2.9","15.1","8.7","114.7","1.33","35.2","-7.1","-10.6",0,"4705","18.6"
"7i",,,"113.2","127.2","154.0","13.7","-6.3","11.7","-2.0","117.3","1.31","29.4","-6.5","-9.9",0,"4428","13.9"
"7i",,,"109.2","124.2","150.0","14.6","-2.9","11.6","6.3","114.7","1.31","29.6","-10.0","-11.6",0,"4320","17.2"
"7i",,,"127.5","140.7","162.0","16.5","-3.2","17.4","2.9","120.9","1.34","37.0","-5.1","-6.7",0,"4620","9.7"
"7i",,,"118.4","135.6","154.4","15.3","-4.8","12.3","-3.2","122.7","1.26","28.5","-5.3","-8.1",0,"3064","8.8"
"7i",,,"110.4","123.7","155.5","13.4","-5.3","11.4","4.8","125.4","1.24","29.6","-5.6","-10.3",0,"5182","21.2"
"7i",,,"67.4","89.9","119.4","15.2","-5.9","5.4","-2.5","118.2","1.01","19.9","-3.1","-6.5",0,"1926","22.3"
"7i",,,"132.3","144.8","165.4","17.7","-2.7","19.3","11.2","122.7","1.35","38.8","-5.5","-9.5",0,"4301","17.7"
"7i",,,"108.1","122.6","148.5","16.1","-3.8","12.1","8.2","123.6","1.20","30.5","-7.8","-11.4",0,"3981","24.5"
"7i",,,"115.9","128.4","158.7","13.6","-5.7","12.6","2.1","121.8","1.30","31.2","-7.2","-10.6",0,"5229","17.1"
"7i",,,"113.4","131.1","148.8","16.3","-8.9","12.4","-14.2","120.0","1.24","29.3","-4.4","-9.0",0,"2992","3.5"
"7i",,,"125.6","138.8","160.5","17.0","-1.8","17.3","9.2","119.1","1.35","37.1","-5.9","-9.3",0,"4576","14.0"
"7i",,,"123.0","137.5","157.5","16.2","-4.2","15.5","0.6","119.1","1.32","34.3","-7.0","-9.2",0,"4139","10.6"
"7i",,,"127.5","137.7","163.0","20.0","-0.7","21.8","14.6","123.6","1.32","43.1","-5.5","-8.2",0,"5185","16.1"
"7i",,,"122.1","137.1","157.5","15.5","-6.5","14.0","-2.7","122.7","1.28","31.6","-6.6","-11.2",0,"3673","13.8"
"7i",,,"134.6","146.1","166.0","19.3","-5.3","22.5","-6.9","122.7","1.35","42.6","-5.7","-7.3",0,"4594","3.9"
"7i",,,"137.0","149.6","167.6","17.7","-5.5","20.6","-3.7","122.7","1.37","39.8","-6.0","-7.9",0,"4236","7.9"
"7i",,,"134.9","150.9","165.6","15.6","-8.7","15.7","-21.8","127.2","1.30","32.3","-3.3","-8.6",0,"3215","-3.6"
"7i",,,"136.6","149.3","165.2","18.8","-4.9","21.1","-7.1","122.7","1.35","39.9","-4.0","-6.5",0,"3859","3.2"
"7i",,,"105.7","124.0","142.7","17.1","-8.2","11.0","-15.3","120.9","1.18","27.1","-2.2","-5.9",0,"2337","-3.5"
"7i",,,"128.2","137.1","165.3","20.7","1.0","23.3","21.4","125.4","1.32","45.0","-5.1","-7.5",0,"5726","18.7"
"7i",,,"109.8","119.9","148.6","19.5","0.5","16.5","17.1","123.6","1.20","38.7","-4.3","-5.7",0,"5423","22.0"
"7i",,,"123.8","140.7","155.8","17.2","-9.1","14.7","-25.7","125.4","1.24","31.9","-1.6","-5.8",0,"2934","-11.8"
"7i",,,"130.9","149.6","160.8","17.8","-4.2","15.2","-16.1","124.5","1.29","30.7","-0.3","-2.2",0,"2327","-13.0"
"7i",,,"140.6","153.3","168.5","18.9","-3.4","22.1","-10.5","123.6","1.36","40.6","-1.5","-3.6",0,"3832","-3.9"
"7i",,,"140.0","150.6","173.0","20.5","-0.7","26.4","12.2","128.1","1.35","46.2","-3.5","-5.7",0,"4944","11.2"
"7i",,,"78.2","110.9","134.7","14.1","-5.8","5.6","-4.8","119.1","1.13","17.6","-2.2","-6.2",0,"980","14.9"
"7i",,,"134.9","146.9","165.5","20.2","0.2","23.1","14.1","127.2","1.30","43.0","-2.2","-5.5",0,"4260","12.5"
"7i",,,"89.9","112.8","135.9","15.5","-5.6","7.7","-4.3","117.3","1.16","22.1","-2.8","-7.4",0,"1916","12.2"
