"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"88.5","101.4","133.7","15.8","1.6","9.3","12.2","104.8","1.27","28.5","-7.6","-5.3",0,"5134","20.0"
"7i",,,"102.7","118.2","145.3","13.4","-2.2","9.4","0.4","107.5","1.35","25.8","-8.3","-5.5",0,"3862","5.9"
"7i",,,"104.2","120.9","148.4","12.3","-5.4","8.7","-7.5","106.6","1.39","24.0","-8.6","-7.0",0,"3643","1.9"
"7i",,,"71.7","95.7","129.9","11.8","-6.1","4.5","-5.9","107.5","1.21","16.1","-6.4","-6.1",0,"2076","5.0"
"7i",,,"39.6","51.1","82.7","20.5","-7.2","4.3","-4.9","112.9","0.73","25.8","-1.7","-2.9",0,"4802","-4.4"
"7i",,,"101.3","120.0","146.9","12.3","-3.7","8.1","-5.3","107.5","1.37","22.4","-8.0","-4.3",0,"3243","0.1"
"7i",,,"101.7","116.6","146.7","13.3","-1.2","9.6","8.7","113.8","1.29","26.6","-9.0","-6.5",0,"4501","18.1"
"7i",,,"88.8","107.6","143.7","10.1","-2.4","6.0","4.8","113.8","1.26","19.8","-9.0","-5.0",0,"4571","18.7"
"7i",,,"101.8","116.9","146.8","12.9","-0.0","9.3","9.4","113.8","1.29","26.0","-9.1","-5.9",0,"4422","15.5"
"7i",,,"24.7","50.8","116.0","4.3","-1.5","0.5","-1.8","116.4","1.00","5.3","-3.7","-6.5",0,"11117","-47.1"
"7i",,,"85.9","102.0","133.1","13.4","-3.4","7.4","0.8","103.0","1.29","23.7","-8.6","-6.0",0,"4216","12.5"
"7i",,,"126.0","139.5","158.5","16.9","-2.3","16.9","-1.5","120.0","1.32","36.1","-5.6","-3.4",0,"4134","2.5"
"7i",,,"118.4","130.5","154.7","17.5","-1.3","16.5","8.2","119.1","1.30","37.2","-6.2","-5.7",0,"4919","12.3"
"7i",,,"128.0","142.6","160.3","16.0","-4.0","15.8","-6.4","117.3","1.37","33.8","-5.2","-3.6",0,"3763","1.2"
"7i",,,"104.8","123.7","143.7","15.9","-3.0","10.3","-6.6","112.9","1.27","26.2","-3.0","-2.7",0,"2625","-5.3"
"7i",,,"85.8","106.3","131.2","15.7","-2.6","7.6","0.5","113.8","1.15","22.7","-3.7","-4.7",0,"2216","11.8"
"7i",,,"113.7","130.5","146.1","18.6","-2.2","14.1","-5.3","114.7","1.27","32.2","-1.2","-1.5",0,"2917","-4.2"
"7i",,,"114.1","124.5","151.2","18.9","2.7","17.0","17.5","122.7","1.23","38.7","-3.9","-2.1",0,"5183","14.8"
"7i",,,"40.9","76.9","113.7","11.7","-8.5","2.2","-7.8","112.9","1.01","13.1","-2.3","-3.3",0,"889","-69.2"
"7i",,,"80.0","105.6","133.0","15.2","-3.9","6.3","-9.8","112.9","1.18","19.8","-0.5","-1.4",0,"1440","-29.2"
"7i",,,"104.6","124.0","143.4","16.0","-1.0","10.3","0.0","120.0","1.20","25.9","-2.2","-0.9",0,"2501","1.4"
"7i",,,"105.9","119.8","142.9","17.1","0.5","12.4","9.2","117.3","1.22","31.1","-4.9","-3.2",0,"3661","12.6"
"7i",,,"53.8","84.5","113.3","14.6","-6.0","3.8","-7.5","112.9","1.00","17.0","-1.0","-4.5",0,"778","-37.2"
"7i",,,"125.6","136.5","159.9","19.0","1.1","19.9","13.6","120.9","1.32","40.9","-4.6","-2.3",0,"4909","11.2"
"7i",,,"127.1","139.7","158.8","17.9","-0.8","18.3","3.4","118.2","1.34","37.9","-5.0","-2.5",0,"4182","4.3"
"7i",,,"109.9","122.1","146.7","18.0","0.5","14.9","10.6","119.1","1.23","35.6","-4.4","-4.0",0,"4678","12.8"
"7i",,,"120.4","133.8","153.8","17.3","-1.5","16.2","0.0","113.8","1.35","35.8","-4.9","-3.4",0,"4187","2.1"
"7i",,,"122.7","135.7","157.3","17.4","0.9","17.2","11.6","117.3","1.34","37.4","-6.1","-2.8",0,"4624","10.1"
"7i",,,"75.8","102.2","128.4","14.3","-2.7","5.7","-3.1","114.7","1.12","18.8","-2.5","-1.6",0,"1516","-2.2"
"7i",,,"120.4","133.3","153.6","17.7","1.5","16.3","10.3","114.7","1.34","36.0","-5.3","-2.1",0,"4100","7.4"
"7i",,,"127.2","140.4","160.0","17.3","-0.1","17.8","8.4","118.2","1.35","37.5","-5.1","-2.5",0,"4339","8.2"
"7i",,,"127.9","140.8","159.4","17.5","-1.6","17.8","0.7","117.3","1.36","37.1","-5.2","-2.9",0,"4047","3.2"
"7i",,,"126.7","141.8","159.5","15.6","-3.4","14.7","-6.9","118.2","1.35","32.1","-5.2","-3.0",0,"3508","-1.2"
"7i",,,"120.5","135.5","155.8","15.3","-0.2","13.7","5.8","117.3","1.33","31.4","-6.6","-2.6",0,"3788","6.8"
"7i",,,"89.0","105.5","133.1","14.8","0.1","8.6","6.0","108.4","1.23","26.2","-6.7","-1.7",0,"4281","11.3"
"7i",,,"111.3","125.8","148.8","15.8","-0.7","12.9","7.4","114.7","1.30","31.7","-7.1","-5.5",0,"4170","11.4"
"7i",,,"109.1","124.0","147.7","15.1","0.2","11.8","6.9","113.8","1.30","29.7","-7.7","-3.3",0,"3977","8.8"
"7i",,,"112.1","126.0","152.6","13.4","-1.2","11.4","2.0","114.7","1.33","29.1","-7.7","-3.0",0,"4529","4.5"
"7i",,,"77.8","99.3","125.3","16.0","-1.0","6.8","3.3","116.4","1.08","22.0","-2.9","-3.1",0,"1983","17.0"
"7i",,,"95.2","109.5","136.5","17.5","3.2","10.6","18.0","120.9","1.13","29.2","-4.7","-4.1",0,"3485","26.9"
"7i",,,"40.4","56.9","109.6","10.7","-5.0","2.3","1.3","110.2","0.99","14.5","1.0","0.5",0,"12974","50.8"
"7i",,,"98.0","110.4","142.7","14.4","0.6","10.1","10.4","113.8","1.25","28.9","-7.4","-4.9",0,"5376","15.7"
"7i",,,"113.6","131.3","149.1","16.2","-1.8","12.2","-0.4","120.0","1.24","29.0","-4.3","-2.8",0,"2993","3.1"
"7i",,,"116.1","130.1","154.8","14.6","0.2","12.9","10.9","114.7","1.35","31.3","-8.0","-5.0",0,"4398","13.1"
"7i",,,"127.3","141.9","162.5","14.1","-1.7","14.4","-2.3","117.3","1.38","32.1","-6.6","-2.5",0,"4096","0.1"
"7i",,,"117.2","132.3","153.5","15.0","-0.0","12.7","4.4","116.4","1.32","30.1","-6.1","-1.8",0,"3674","4.6"
"7i",,,"129.9","144.5","162.1","15.7","-3.7","15.8","-6.2","120.9","1.34","33.5","-5.5","-3.5",0,"3714","0.9"
"7i",,,"108.0","123.1","148.0","14.3","-3.3","10.9","0.1","111.1","1.33","28.1","-8.4","-6.3",0,"3880","8.5"
"7i",,,"107.5","123.8","149.6","13.4","-2.9","9.9","2.7","113.8","1.32","26.0","-8.0","-7.2",0,"3653","12.4"
"7i",,,"42.2","63.0","117.6","8.0","7.1","1.8","9.7","111.1","1.06","10.8","-9.5","-7.3",0,"5887","43.8"
"7i",,,"81.1","106.0","138.0","12.0","-7.4","5.2","-10.4","115.6","1.19","16.6","-4.7","-5.2",0,"1879","-4.3"
"7i",,,"129.1","143.5","161.9","15.7","-1.6","16.1","-0.7","119.1","1.36","34.3","-6.2","-3.4",0,"3984","1.5"
"7i",,,"95.1","115.5","139.5","14.7","-4.5","8.2","-7.5","117.3","1.19","22.7","-3.7","-4.0",0,"2382","-3.2"
"7i",,,"47.6","67.5","139.3","6.6","3.0","1.6","9.1","119.1","1.17","9.3","-6.1","-5.5",0,"7066","57.4"
"7i",,,"89.2","104.1","141.2","12.2","-0.9","7.3","9.7","116.4","1.21","23.3","-6.8","-4.7",0,"5045","23.9"
"7i",,,"113.3","128.5","148.9","16.1","-1.5","12.8","2.3","115.6","1.29","30.6","-5.7","-3.4",0,"3502","6.4"
"7i",,,"100.3","113.9","144.2","14.3","-0.8","10.2","8.6","115.6","1.25","28.5","-9.9","-5.4",0,"4889","16.3"
"7i",,,"126.3","138.9","158.2","18.0","-1.6","18.1","2.9","118.2","1.34","37.8","-5.1","-5.0",0,"4173","5.9"
"7i",,,"106.4","119.9","143.0","17.8","-1.0","13.2","8.2","114.7","1.25","32.5","-5.4","-6.2",0,"3828","15.4"
"7i",,,"120.4","133.4","157.4","16.1","-0.9","15.7","6.9","120.0","1.31","35.7","-5.9","-5.2",0,"4970","9.2"
"7i",,,"78.6","97.1","134.7","11.3","-3.1","5.5","4.8","110.2","1.22","19.5","-9.5","-9.1",0,"4434","25.8"
"7i",,,"106.4","121.5","147.9","13.5","-5.5","10.2","-4.6","107.5","1.38","26.9","-9.1","-7.8",0,"3946","7.5"
"7i",,,"114.9","129.5","153.5","13.9","-4.7","12.0","-3.8","111.1","1.38","29.5","-8.1","-7.2",0,"4104","6.2"
"7i",,,"103.4","115.7","146.7","14.7","-0.9","11.2","9.3","115.6","1.27","30.3","-10.9","-6.4",0,"5259","16.7"
"7i",,,"106.3","122.4","149.0","13.0","-4.6","9.6","-2.6","108.4","1.37","25.6","-8.9","-7.4",0,"3763","8.5"
"7i",,,"110.6","125.7","151.6","13.6","-2.7","10.9","3.8","112.0","1.35","28.0","-9.6","-6.7",0,"4057","12.5"
"7i",,,"106.1","121.6","149.9","12.8","-3.4","9.6","2.8","112.0","1.34","26.0","-10.0","-7.7",0,"4092","13.9"
"7i",,,"108.7","123.5","150.5","13.2","-6.0","10.5","-4.1","110.2","1.37","27.5","-10.0","-9.2",0,"4232","9.8"
"7i",,,"112.0","125.7","150.2","15.4","-3.0","13.0","1.4","110.2","1.36","32.0","-8.2","-7.7",0,"4523","8.9"
"7i",,,"113.9","127.7","151.5","16.0","-1.2","13.6","8.5","115.6","1.31","32.8","-8.1","-7.2",0,"4406","13.9"
"7i",,,"117.5","131.1","153.8","16.7","-0.9","15.1","9.6","114.7","1.34","34.8","-7.7","-6.4",0,"4512","13.6"
"7i",,,"107.8","120.7","150.8","14.5","-0.2","11.6","12.7","112.9","1.34","30.3","-11.4","-7.0",0,"4975","19.3"
"7i",,,"111.0","124.1","150.7","14.7","-3.5","12.2","2.2","113.8","1.33","30.7","-9.0","-7.0",0,"4555","11.8"
"7i",,,"124.0","138.5","159.8","14.4","-4.0","13.7","-1.2","117.3","1.36","31.3","-7.9","-7.5",0,"3928","8.0"
"7i",,,"52.8","71.1","119.9","10.6","7.4","3.0","13.6","114.7","1.05","15.2","-7.7","-7.6",0,"5911","43.8"
"7i",,,"114.8","129.3","151.5","15.3","-4.8","13.2","-4.7","111.1","1.36","31.6","-7.8","-7.5",0,"4122","5.3"
"7i",,,"70.9","90.0","132.0","9.8","-0.6","4.2","6.4","108.4","1.22","16.8","-12.1","-5.2",0,"4873","24.2"
"7i",,,"107.6","120.9","150.4","14.0","0.1","11.1","12.0","112.0","1.34","29.3","-10.0","-8.0",0,"4729","17.3"
"7i",,,"91.0","103.2","136.6","15.6","-2.5","9.7","7.2","112.9","1.21","29.0","-9.0","-10.1",0,"5483","21.9"
"7i",,,"61.5","92.2","121.3","14.3","-3.9","4.3","-1.7","117.3","1.03","16.6","-2.0","-4.3",0,"522","23.8"
"7i",,,"110.5","120.9","148.6","18.6","2.3","15.8","17.3","114.7","1.30","37.5","-7.4","-6.5",0,"5190","17.2"
"7i",,,"98.1","111.8","145.2","13.5","-3.0","9.3","7.5","115.6","1.26","26.7","-10.3","-12.0",0,"4882","22.6"
"7i",,,"111.2","123.8","150.2","16.4","-2.7","13.8","6.9","114.7","1.31","33.8","-8.8","-7.7",0,"4881","16.1"
"7i",,,"66.8","92.0","125.9","12.6","-3.6","4.3","-0.3","110.2","1.14","16.4","-4.7","-6.4",0,"1794","21.1"
"7i",,,"88.2","101.9","138.2","13.1","0.3","7.8","10.8","114.7","1.21","24.8","-9.2","-5.1",0,"5393","22.0"
"7i",,,"122.6","132.7","158.2","19.4","-0.6","19.9","9.8","120.9","1.31","41.4","-6.1","-5.4",0,"5275","11.3"
"7i",,,"58.4","89.7","137.4","6.1","-2.1","2.0","3.5","111.1","1.24","9.6","-10.0","-7.1",0,"4412","29.9"
"7i",,,"64.2","77.4","125.9","12.5","7.2","4.7","18.0","120.9","1.04","19.7","-8.7","-8.1",0,"7116","42.6"
"7i",,,"119.1","133.7","153.9","16.1","-3.5","14.2","-0.7","120.0","1.28","32.5","-5.6","-6.5",0,"3851","7.2"
"7i",,,"55.9","88.4","115.8","14.0","-8.0","3.8","-4.9","117.3","0.99","16.5","-2.8","-7.8",0,"886","28.4"
"7i",,,"114.4","127.4","153.8","15.6","-3.3","13.7","6.4","119.1","1.29","33.1","-8.7","-8.4",0,"4814","16.6"
"7i",,,"34.3","61.0","118.3","6.1","3.3","1.0","5.1","107.5","1.10","7.8","-9.7","-9.2",0,"5384","47.1"
