"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"121.7","148.4","175.3","6.4","2.8","6.9","3.4","132.5","1.32","18.9","-8.4","7.9",0,"4149","-5.9"
"7i",,,"123.9","138.5","176.5","10.0","3.2","10.4","-14.0","129.8","1.36","26.2","-6.5","11.2",0,"5043","-30.0"
"7i",,,"49.0","79.5","146.6","6.1","-5.3","1.5","-9.7","129.9","1.13","8.2","-5.6","9.7",0,"4432","-59.3"
"7i",,,"119.1","143.3","181.0","7.0","-2.3","6.7","-22.0","129.9","1.39","18.3","-7.9","4.6",0,"4183","-30.1"
"7i",,,"105.3","123.2","167.1","9.9","-1.7","6.8","-19.8","129.9","1.29","19.0","-6.7","8.4",0,"3692","-39.1"
"7i",,,"26.2","79.3","126.1","5.4","-1.0","0.6","-1.2","130.2","0.97","5.8","-6.7","8.2",0,"1635","-68.0"
"7i",,,"122.7","134.4","159.1","17.7","2.8","17.9","18.4","119.1","1.34","38.8","-3.8","-2.8",0,"5086","13.3"
"7i",,,"127.5","142.8","161.2","14.9","-4.1","14.4","-4.6","116.4","1.38","31.5","-5.4","-5.3",0,"3601","3.9"
"7i",,,"117.4","130.4","157.7","14.4","0.6","13.3","14.5","115.6","1.37","32.0","-7.4","-5.4",0,"4836","16.2"
"7i",,,"139.3","156.1","175.4","13.6","-6.2","14.5","-31.1","121.8","1.44","30.4","-3.1","-1.4",0,"3413","-21.6"
"7i",,,"76.1","101.8","125.8","15.8","-2.4","6.4","0.5","117.3","1.07","20.7","-1.7","-3.6",0,"1472","15.2"
"7i",,,"117.2","131.2","155.6","15.9","1.1","14.1","18.4","119.1","1.31","33.2","-6.2","-5.7",0,"4358","20.8"
"7i",,,"94.1","112.6","138.8","13.8","-9.7","8.0","-14.6","119.1","1.16","23.2","-4.5","-9.2",0,"3064","0.4"
"7i",,,"115.3","134.0","153.5","14.3","-4.2","11.0","-9.0","120.9","1.27","26.5","-3.9","-3.8",0,"3015","-3.5"
"7i",,,"96.6","123.7","177.7","6.4","-5.0","3.9","-21.7","128.9","1.38","12.2","-6.8","5.5",0,"3537","-41.3"
"7i",,,"107.1","147.5","175.7","3.9","-0.2","3.9","-5.7","130.3","1.35","12.9","-11.1","4.9",0,"4440","-12.6"
"7i",,,"70.0","83.8","128.4","10.3","-1.4","4.8","0.1","132.5","0.97","19.7","2.4","-2.3",0,"10207","3.3"
"7i",,,"66.0","76.5","111.9","17.3","-1.8","7.1","-3.1","133.4","0.84","27.5","-5.4","1.6",0,"8006","-7.2"
"7i",,,"60.0","84.9","153.2","7.6","-8.2","2.4","-15.7","130.8","1.17","10.3","-3.7","5.2",0,"3582","-61.6"
