"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"94.8","107.3","130.5","20.9","5.1","13.3","14.5","111.1","1.17","34.9","-0.9","-2.3",0,"3805","10.4"
"7i",,,"100.9","109.0","140.9","19.2","2.4","14.9","12.2","116.4","1.21","37.8","-4.5","-1.6",0,"7094","11.0"
"7i",,,"86.9","113.0","138.5","15.7","-4.0","7.2","-12.1","124.5","1.11","20.9","-2.6","-3.9",0,"1506","-34.6"
"7i",,,"106.4","115.3","144.7","20.0","2.6","16.8","12.8","115.6","1.25","39.9","-5.3","-0.9",0,"6561","9.9"
"7i",,,"102.0","120.7","143.6","14.9","-5.2","9.5","-13.6","121.8","1.18","25.3","-4.0","-1.5",0,"2898","-12.9"
"7i",,,"99.1","119.7","145.4","15.3","-5.9","8.8","-18.9","128.1","1.14","23.3","-1.2","-1.6",0,"2296","-29.1"
"7i",,,"126.0","134.9","163.3","18.2","-2.2","20.7","-2.6","124.5","1.31","42.4","-7.3","-2.8",0,"6457","0.7"
"7i",,,"123.3","134.8","161.6","14.8","-6.3","15.5","-15.5","127.2","1.27","35.4","-6.3","-5.2",0,"5313","-4.2"
"7i",,,"120.5","130.9","156.9","18.0","-2.4","18.3","-1.6","127.2","1.23","39.8","-5.1","-3.4",0,"5705","2.4"
"7i",,,"121.5","135.1","155.3","16.8","-4.0","16.0","-8.1","124.5","1.25","35.5","-4.7","-3.5",0,"4260","-1.3"
"7i",,,"129.2","138.0","167.3","17.7","-3.3","21.3","-0.4","129.0","1.30","42.7","-6.1","-5.7",0,"6672","5.5"
"7i",,,"125.5","133.7","165.2","17.6","-2.1","20.4","0.2","129.9","1.27","42.4","-7.2","-4.2",0,"7441","3.4"
"7i",,,"103.0","114.9","147.9","14.0","2.3","11.1","14.7","124.5","1.19","30.6","-6.9","-4.0",0,"6393","15.5"
"7i",,,"122.4","130.4","161.2","18.7","-1.5","20.5","3.5","125.4","1.29","42.7","-7.8","-6.4",0,"7125","5.9"
"7i",,,"128.6","136.7","168.1","17.8","-0.9","21.6","2.4","129.0","1.30","43.4","-7.1","-3.5",0,"7364","3.0"
"7i",,,"123.0","131.2","162.8","17.7","-1.5","19.6","5.1","125.4","1.30","41.7","-8.2","-5.0",0,"7403","7.6"
"7i",,,"113.4","122.7","153.7","16.0","-2.0","15.1","2.3","126.3","1.22","36.4","-7.6","-3.2",0,"6681","6.4"
"7i",,,"121.8","130.5","159.0","19.6","1.3","21.0","7.7","123.6","1.29","43.2","-7.5","-4.2",0,"6480","3.9"
"7i",,,"120.3","130.1","159.1","16.1","-1.2","16.6","5.9","124.5","1.28","37.5","-8.9","-4.4",0,"6076","8.3"
"7i",,,"126.2","136.3","165.6","14.8","-4.9","17.1","-9.7","125.4","1.32","37.9","-7.6","-4.5",0,"6449","-0.5"
