"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"sw",,,"44.4","52.1","86.4","21.8","-5.1","5.4","-3.3","87.0","0.99","28.5","-8.6","-3.8",0,"7319","0.7"
"sw",,,"54.5","60.5","92.9","27.1","-2.9","9.0","-1.6","87.0","1.07","36.8","-7.8","-7.1",0,"7323","2.9"
"sw",,,"49.5","56.1","87.4","27.8","-4.1","8.1","-2.6","87.0","1.00","36.3","-8.5","-5.9",0,"6363","2.1"
"sw",,,"49.5","56.1","88.8","25.5","-5.8","7.4","-4.5","83.4","1.06","33.8","-8.0","-4.5",0,"6738","-0.7"
"sw",,,"46.9","52.9","84.0","29.6","-1.9","8.2","-0.2","83.4","1.01","37.8","-7.6","-7.3",0,"6718","5.3"
"sw",,,"58.4","64.4","96.1","28.4","-1.3","10.4","-0.1","87.0","1.11","39.1","-4.6","-2.8",0,"7307","2.3"
"sw",,,"50.7","56.6","90.9","24.1","-3.0","7.1","-1.9","87.0","1.05","32.5","-9.2","-3.2",0,"7991","0.5"
"sw",,,"55.5","62.1","94.0","26.5","-2.4","8.9","-1.2","88.7","1.06","36.2","-8.1","-5.8",0,"6608","2.5"
"sw",,,"54.8","61.3","93.4","26.4","-1.9","8.7","-1.9","83.4","1.12","36.0","-4.3","-1.0",0,"6698","-4.3"
"sw",,,"56.5","65.2","94.2","27.6","-9.6","9.4","-11.4","87.8","1.07","36.8","-2.8","-6.8",0,"4349","-14.3"
"sw",,,"51.4","60.0","85.5","35.5","-2.8","10.9","-0.6","87.8","0.97","42.3","-9.9","-8.0",0,"1658","9.6"
"sw",,,"56.2","62.8","95.9","24.4","-5.2","8.3","-4.4","87.0","1.10","34.1","-9.0","-5.3",0,"7434","-0.0"
"sw",,,"55.5","64.8","98.4","20.4","-2.0","6.6","-1.0","87.0","1.13","28.9","-7.4","-2.4",0,"6311","1.3"
"sw",,,"52.7","59.3","91.3","26.3","-5.3","8.2","-5.1","86.1","1.06","35.3","-7.1","-3.0",0,"6559","-4.8"
"sw",,,"49.1","55.5","88.3","25.5","-2.1","7.3","-0.9","86.0","1.03","33.8","-1.0","-1.0",8,"6937","1.9"
"sw",,,"56.1","64.2","92.9","29.2","-3.5","10.0","-2.4","87.8","1.06","38.7","-6.5","-4.4",0,"4483","1.6"
"sw",,,"43.6","51.3","79.1","32.4","-1.7","8.3","-0.5","84.3","0.94","39.4","-8.3","-6.0",0,"3725","2.7"
"sw",,,"50.0","56.9","88.8","26.0","-4.0","7.6","-3.2","84.3","1.05","34.3","-5.4","-4.7",0,"6131","-2.0"
"sw",,,"50.4","58.1","91.6","22.7","-4.5","6.6","-3.6","87.8","1.04","30.8","-6.9","-2.1",0,"6941","-1.4"
"sw",,,"60.3","65.8","97.3","30.9","-3.7","12.1","-3.6","90.5","1.07","42.3","-4.6","-4.4",0,"7029","-1.8"
