"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"78.1","89.5","119.5","19.2","0.4","9.8","1.0","100.4","1.19","31.8","-3.9","-0.8",0,"5900","-1.7"
"7i",,,"54.8","89.7","118.4","12.1","-11.9","3.2","-11.0","113.8","1.04","14.4","-0.4","-3.6",0,"957","-5.0"
"7i",,,"114.5","123.8","153.4","17.5","-5.0","16.5","-17.3","118.2","1.30","38.3","-6.5","-7.9",0,"6204","-11.6"
"7i",,,"95.0","105.5","138.1","15.2","-4.2","10.5","-4.8","111.1","1.24","30.2","-3.0","-2.9",0,"6059","1.9"
"7i",,,"88.6","102.5","136.5","12.8","-1.8","7.8","-4.2","111.1","1.23","25.0","-6.7","-2.8",0,"5462","-5.5"
"7i",,,"98.2","107.5","136.8","20.4","2.4","14.8","13.6","110.2","1.24","37.9","-4.4","-2.9",0,"5889","14.8"
"7i",,,"106.8","117.1","144.2","19.0","-2.5","15.5","-9.1","112.9","1.28","37.6","-1.4","0.9",0,"5411","-8.9"
"7i",,,"109.4","121.3","144.1","19.2","-2.8","15.7","-3.1","112.9","1.28","36.9","-5.5","-3.6",0,"4474","1.5"
"7i",,,"114.9","125.0","150.2","20.0","2.0","18.5","5.9","113.8","1.32","40.6","-3.3","0.1",0,"5228","0.7"
"7i",,,"112.2","123.2","147.1","19.9","-2.6","17.4","-5.2","113.8","1.29","39.3","-4.8","-4.3",0,"4924","-1.9"
"7i",,,"110.2","118.8","146.8","23.4","1.6","20.8","14.9","118.2","1.24","44.5","-2.1","-0.2",0,"5861","14.5"
"7i",,,"103.4","122.6","139.8","18.9","-3.8","11.4","-11.1","116.4","1.20","27.9","-0.6","-1.8",0,"1882","-15.4"
"7i",,,"104.4","113.1","142.2","20.5","0.4","16.6","8.4","115.6","1.23","39.8","0.0","0.0",-1,"6258","9.9"
"7i",,,"106.3","111.1","147.0","24.0","2.6","21.2","-5.2","117.3","1.25","46.2","-3.6","-3.2",0,"9413","-15.7"
"7i",,,"120.4","131.7","154.2","19.4","-2.8","18.9","-9.2","115.6","1.33","40.2","-2.7","-0.4",0,"4775","-6.0"
"7i",,,"96.2","102.9","141.7","19.5","-0.8","14.5","11.3","113.8","1.25","38.7","-4.5","-2.6",0,"11895","20.5"
"7i",,,"109.0","118.4","147.8","17.7","-2.4","15.4","-7.0","115.6","1.28","37.3","-4.7","-2.5",0,"6302","-5.2"
"7i",,,"116.7","128.3","149.7","20.7","-0.5","19.0","2.7","118.2","1.27","40.7","-2.6","-1.7",0,"4567","3.1"
"7i",,,"106.5","115.8","143.2","20.4","1.5","16.9","1.9","116.4","1.23","39.9","-2.5","0.5",0,"5798","-3.2"
"7i",,,"134.7","156.1","158.3","22.3","-0.8","18.2","2.8","120.0","1.32","33.1","-4.3","-3.1",0,"1292","6.5"
"7i",,,"120.7","135.7","149.5","20.5","-3.9","17.0","-12.2","120.0","1.25","35.6","-1.0","-2.1",0,"2826","-8.6"
"7i",,,"114.2","124.8","149.8","19.1","-1.8","17.3","-2.1","116.4","1.29","39.0","-6.7","-0.3",0,"5114","0.3"
"7i",,,"117.8","126.9","152.9","21.3","-0.8","20.9","1.4","120.9","1.26","43.3","-4.0","-4.0",0,"5541","2.1"
"7i",,,"91.6","117.3","141.3","15.4","-5.4","7.5","-13.2","120.0","1.18","20.8","-3.8","-1.5",0,"1427","-24.7"
"7i",,,"5.4","90.8","143.6","0.7","-1.7","0.0","-0.1","111.1","1.29","0.7","-7.0","-8.4",0,"743","10.0"
"7i",,,"120.0","130.5","154.7","20.8","-2.6","20.5","-12.6","118.2","1.31","42.4","-4.6","-4.7",0,"5059","-10.5"
"7i",,,"107.5","115.3","146.4","19.7","-1.8","17.2","-1.3","117.3","1.25","40.4","-4.9","-3.9",0,"7305","1.3"
"7i",,,"98.2","103.9","142.7","20.2","0.4","15.4","-10.8","115.6","1.23","39.8","-5.0","-3.1",0,"11068","-21.5"
"7i",,,"114.7","135.2","143.8","22.3","-2.9","15.0","-1.1","117.3","1.23","31.7","-4.2","-6.5",0,"1282","8.7"
"7i",,,"124.0","132.1","161.0","21.1","-2.3","23.3","5.6","121.8","1.32","45.4","-4.6","-6.0",0,"6353","9.8"
"7i",,,"113.7","124.1","150.0","19.3","-1.7","17.3","-9.8","115.6","1.30","39.2","-6.1","-5.4",0,"5157","-10.7"
"7i",,,"129.0","141.8","157.3","20.9","-1.8","21.0","-1.6","120.9","1.30","40.6","-6.5","-5.9",0,"3668","1.1"
"7i",,,"110.9","114.9","154.2","22.8","0.5","21.7","-13.9","122.7","1.26","46.3","-6.4","-5.8",0,"10506","-21.0"
"7i",,,"94.5","108.5","132.2","18.1","-4.6","11.3","-4.2","112.0","1.18","30.8","-5.5","-9.5",0,"3689","4.8"
"7i",,,"93.4","103.0","139.9","15.3","-6.4","10.8","-14.7","113.8","1.23","31.9","-7.9","-8.6",0,"9503","-10.2"
"7i",,,"101.8","110.6","143.4","17.1","-0.8","13.6","3.0","118.2","1.21","35.6","-8.0","-3.4",0,"7653","5.1"
"7i",,,"112.7","120.7","151.9","18.8","-4.1","17.8","-9.2","117.3","1.29","40.5","-5.5","-3.8",0,"7264","-3.4"
"7i",,,"102.4","107.9","141.0","23.5","0.8","19.4","0.9","118.2","1.19","44.2","-5.3","-6.1",0,"8303","-2.7"
"7i",,,"90.1","108.6","130.8","17.9","-5.2","9.2","-9.6","114.7","1.14","25.5","-2.4","-6.4",0,"1918","-8.9"
"7i",,,"98.5","110.0","143.2","14.3","-2.6","10.5","4.0","120.9","1.18","29.7","-7.9","-6.6",0,"6182","13.3"
"7i",,,"108.9","114.6","156.9","19.1","-2.0","17.1","-23.3","121.8","1.29","40.8","-6.0","-5.2",0,"10803","-30.0"
"7i",,,"120.7","129.8","157.1","20.0","0.2","20.6","-6.4","123.6","1.27","42.8","-4.3","-2.2",0,"5937","-9.6"
"7i",,,"110.3","124.8","143.4","18.7","-4.2","14.1","-6.7","120.0","1.20","33.1","-3.0","-4.6",0,"3299","0.2"
"7i",,,"96.6","114.7","133.1","19.0","-5.5","11.0","-8.8","115.6","1.15","28.7","-2.6","-6.0",0,"2271","-1.8"
"7i",,,"123.7","146.1","152.1","21.6","-0.2","15.1","-1.0","119.1","1.28","29.7","-3.5","-4.5",0,"911","-5.8"
"7i",,,"100.1","106.7","145.9","18.9","-1.0","14.9","12.5","122.7","1.19","38.7","-8.0","-8.8",0,"11281","21.5"
"7i",,,"120.1","129.0","155.2","22.4","-1.8","22.8","3.2","122.7","1.27","45.2","-3.1","-5.0",0,"5577","6.5"
"7i",,,"113.2","118.3","153.6","23.3","2.4","23.2","10.7","121.8","1.26","47.2","-7.6","-3.2",0,"9326","5.5"
"7i",,,"102.6","109.3","146.8","17.6","-0.2","14.7","-2.1","125.4","1.17","38.0","-6.6","-6.1",0,"10870","-4.8"
"7i",,,"118.7","127.5","158.9","16.9","-1.8","17.4","-11.0","126.3","1.26","39.3","-8.3","-7.9",0,"7052","-10.5"
"7i",,,"29.7","61.0","122.6","3.4","-1.2","0.5","-1.7","124.5","0.98","4.8","-4.5","-8.0",0,"10911","-30.3"
"7i",,,"99.8","112.0","143.4","14.5","-1.2","10.6","5.1","120.9","1.19","29.6","-8.8","-8.4",0,"5523","10.8"
"7i",,,"84.5","100.5","136.7","11.5","-0.0","6.6","6.6","122.7","1.11","22.3","-6.7","-7.7",0,"5582","14.2"
"7i",,,"121.8","131.6","158.1","18.3","-2.2","19.1","-2.2","125.4","1.26","40.7","-4.8","-6.7",0,"5827","1.1"
"7i",,,"104.3","109.3","147.3","20.1","-3.3","17.0","-16.1","116.4","1.27","41.2","-5.6","-6.9",0,"10304","-17.0"
"7i",,,"107.6","113.7","146.7","21.5","-6.4","19.2","-12.0","119.1","1.23","43.2","-5.4","-9.6",0,"8221","-1.7"
"7i",,,"49.7","71.0","106.6","12.4","-19.6","3.2","-16.7","118.2","0.90","16.1","-0.1","-8.9",0,"2660","-5.7"
"7i",,,"109.3","117.0","151.0","17.6","-3.5","16.1","-1.1","118.2","1.28","38.8","-8.9","-11.7",0,"8690","5.9"
"7i",,,"108.4","125.9","141.0","19.8","-5.9","13.6","-14.1","118.2","1.19","31.7","-2.7","-5.6",0,"2463","-9.0"
