"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"sw",,,"38.5","63.9","103.1","9.5","-7.6","1.8","-5.0","84.3","1.22","11.7","-5.9","0.2",0,"2857","-5.3"
"sw",,,"48.0","54.3","87.5","25.3","-5.7","7.0","-4.5","85.2","1.03","33.3","-5.1","-2.2",0,"7439","-2.3"
"sw",,,"46.1","58.1","92.5","17.8","0.1","4.5","1.2","83.4","1.11","23.8","-6.2","-1.7",0,"5723","3.9"
"sw",,,"40.4","47.0","80.1","24.6","-3.5","5.5","-1.2","85.2","0.94","31.0","-11.1","-3.6",0,"7384","7.1"
"sw",,,"43.8","49.7","79.0","35.8","-4.1","9.6","-2.0","80.7","0.98","43.3","-1.0","-1.0",5,"4894","5.4"
"sw",,,"51.7","61.2","88.3","30.4","-7.4","9.2","-9.5","81.6","1.08","38.0","-0.2","-1.2",0,"3143","-24.2"
"sw",,,"47.0","53.0","84.3","29.0","0.5","8.0","0.9","105.7","0.80","37.2","-1.0","-1.0",8,"6875","-0.2"
"sw",,,"35.3","41.1","71.7","29.5","0.0","5.8","1.1","79.8","0.90","35.3","-9.0","-4.9",0,"7036","8.7"
"sw",,,"33.9","40.6","71.2","27.1","-1.0","5.0","0.2","78.0","0.91","32.3","-6.5","-4.8",0,"5997","5.0"
"sw",,,"42.8","49.9","78.9","31.3","-0.5","7.8","-0.2","80.7","0.98","38.4","-1.0","-2.8",0,"4821","-3.1"
"sw",,,"44.7","51.6","80.8","31.7","0.6","8.4","-0.1","76.2","1.06","39.2","1.6","0.1",0,"4741","-9.2"
"7i",,,"89.2","109.0","137.3","13.3","-2.3","7.0","-4.0","104.8","1.31","20.9","-6.1","-2.0",0,"2692","-4.6"
"7i",,,"85.4","100.2","133.0","13.4","-0.1","7.6","3.4","110.2","1.21","24.8","-7.6","-4.3",0,"5116","6.4"
"7i",,,"76.5","93.9","127.4","12.9","-3.7","5.9","0.6","111.1","1.15","21.0","-9.2","-8.1",0,"3929","15.9"
"7i",,,"42.0","75.3","108.8","10.7","-2.8","2.1","-1.6","113.8","0.96","12.3","-6.2","-3.1",0,"1106","-1.8"
"7i",,,"113.5","127.3","151.1","15.2","-3.3","13.0","-6.8","119.1","1.27","31.9","-5.2","-2.6",0,"4466","-2.3"
"7i",,,"114.1","126.5","155.4","14.3","-1.3","13.1","6.6","121.8","1.28","32.6","-9.0","-7.0",0,"5514","11.0"
"7i",,,"104.9","116.3","146.9","16.3","-1.4","12.7","10.6","112.0","1.31","33.1","-7.9","-11.0",0,"5545","19.7"
"7i",,,"110.7","124.7","151.9","13.2","-3.0","11.0","-2.7","117.3","1.29","28.6","-7.3","-3.6",0,"4568","2.8"
"7i",,,"118.2","136.7","156.8","13.8","-5.2","11.2","-14.8","118.2","1.33","26.6","-7.2","-2.1",0,"3120","-9.2"
"7i",,,"91.4","109.4","137.5","14.5","-3.3","8.1","3.7","117.3","1.17","23.8","-7.3","-8.6",0,"3197","21.0"
"7i",,,"112.5","125.9","158.6","11.5","-0.3","10.6","9.9","123.6","1.28","28.1","-9.5","-3.4",0,"5573","13.3"
"7i",,,"42.8","83.1","135.1","3.8","-3.6","0.9","0.1","105.7","1.28","5.5","-9.9","-8.8",0,"4104","26.1"
"7i",,,"52.6","70.6","102.6","15.3","1.0","4.3","0.5","122.7","0.84","20.4","-1.5","-5.4",0,"3252","-7.5"
"7i",,,"99.7","112.5","143.4","14.6","0.7","10.5","10.5","112.0","1.28","29.4","-8.4","-5.9",0,"5202","14.8"
"7i",,,"133.7","146.5","166.8","16.2","-0.1","18.6","5.8","122.7","1.36","37.9","-6.2","-1.7",0,"4594","4.8"
"7i",,,"107.4","119.4","147.3","16.3","3.9","13.4","15.5","115.6","1.27","34.0","-7.6","-1.2",0,"5437","10.9"
"7i",,,"117.3","129.0","156.4","16.2","0.8","15.2","15.0","120.0","1.30","35.6","-10.5","-4.7",0,"5227","16.0"
