"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"sw",,,"42.3","49.5","77.0","44.5","-0.9","12.4","0.2","87.0","0.89","50.8","-7.3","-3.4",0,"1278","3.3"
"sw",,,"46.4","55.9","81.7","32.1","9.2","8.6","6.8","83.4","0.98","38.6","-2.8","-1.5",0,"2435","-10.0"
"sw",,,"45.3","52.1","83.6","26.9","-2.9","7.0","-2.4","81.6","1.02","34.4","-4.3","0.2",0,"5978","-5.1"
"sw",,,"45.6","52.5","85.3","24.7","-6.2","6.4","-4.3","83.4","1.02","32.1","-16.2","-4.3",0,"7226","0.3"
"sw",,,"38.5","46.9","76.5","26.6","-5.5","5.6","-3.4","79.8","0.96","32.3","-9.4","-4.7",0,"4090","-1.6"
"sw",,,"43.2","50.6","85.4","21.7","-7.7","5.2","-5.5","87.8","0.97","28.2","-10.6","-6.5",0,"7537","-2.1"
"sw",,,"45.3","63.9","101.3","12.1","-4.4","2.9","-2.3","84.3","1.20","16.5","-11.6","-3.7",0,"4944","5.2"
"sw",,,"30.6","39.2","68.2","25.8","-7.1","4.1","-3.1","78.0","0.87","30.1","-15.2","-14.7",0,"4577","5.0"
"sw",,,"39.5","47.4","80.0","23.3","-7.0","5.0","-4.3","80.7","0.99","29.2","-13.0","-4.1",0,"6592","0.7"
"sw",,,"42.3","51.1","81.4","25.4","-1.7","6.0","-0.1","79.8","1.02","31.8","-17.3","-5.4",0,"4752","6.0"
"sw",,,"47.4","53.9","85.8","27.0","-4.9","7.4","-4.7","80.7","1.06","35.0","-3.4","-1.1",0,"6523","-8.8"
"sw",,,"43.9","49.0","80.0","31.8","-2.8","8.3","-1.8","82.5","0.97","39.5","-5.8","-6.3",0,"6341","-1.8"
"sw",,,"45.5","52.8","83.7","27.1","-7.4","7.1","-5.5","81.6","1.03","34.5","-9.9","-4.5",0,"5337","-1.4"
"sw",,,"42.6","50.0","81.2","26.3","-7.2","6.3","-5.0","81.6","0.99","33.0","-10.8","-4.9",0,"5304","-1.7"
"sw",,,"44.5","50.0","80.7","31.9","-4.1","8.5","-2.0","86.1","0.94","39.6","-6.7","-12.2",0,"5879","4.7"
"sw",,,"57.6","63.1","94.3","31.7","-8.1","11.7","-8.8","88.7","1.06","42.3","3.1","-8.1",0,"6411","-6.4"
"sw",,,"47.8","53.1","83.3","38.1","0.3","11.7","1.1","91.4","0.91","46.6","-4.9","-4.8",0,"4967","2.1"
"sw",,,"45.6","50.3","81.6","32.8","-0.2","9.0","0.4","87.0","0.94","40.9","-7.5","-3.2",0,"6329","-0.1"
"sw",,,"55.1","61.9","93.2","27.8","-7.7","9.3","-9.7","87.0","1.07","37.3","-0.8","-1.6",0,"5710","-16.2"
"sw",,,"41.3","47.0","77.0","32.2","-0.2","7.8","-0.3","82.5","0.93","39.1","-8.3","1.5",0,"5508","-6.0"
"sw",,,"48.8","55.3","86.5","28.1","-3.1","8.1","-3.1","81.6","1.06","36.4","-4.2","0.7",0,"5891","-7.1"
"sw",,,"45.5","51.2","81.9","31.3","-3.0","8.5","-2.1","83.4","0.98","39.2","-10.0","-2.9",0,"6226","-2.3"
"sw",,,"29.1","34.1","61.8","40.1","3.5","7.0","2.1","84.3","0.73","44.8","-10.4","-8.1",0,"4836","-0.9"
"sw",,,"47.6","52.8","83.7","32.6","-0.5","9.5","-0.1","82.5","1.01","41.1","-8.6","-2.4",0,"5923","-2.0"
"7i",,,"93.9","111.1","137.8","14.0","-4.1","8.5","-7.9","103.0","1.34","24.7","-4.3","-3.0",0,"3631","-5.3"
"7i",,,"93.7","106.6","137.7","14.7","-1.3","9.7","2.9","107.5","1.28","28.7","-10.2","-3.8",0,"5490","7.9"
"7i",,,"108.1","120.6","147.5","15.9","-3.1","13.1","-1.4","111.1","1.33","33.1","-6.5","-5.8",0,"5153","4.9"
"7i",,,"86.6","102.3","138.4","11.3","-2.0","6.8","3.0","112.0","1.24","22.7","-9.0","-4.9",0,"5907","11.8"
"7i",,,"125.2","138.4","163.6","13.7","-4.3","14.5","-3.7","118.2","1.38","33.3","-6.7","-5.3",0,"4988","5.0"
"7i",,,"100.2","116.5","143.0","13.6","-3.4","9.1","-3.0","114.7","1.25","25.3","-5.6","-3.9",0,"3713","3.5"
"7i",,,"117.4","129.2","155.5","16.1","-1.5","15.3","4.4","117.3","1.33","35.7","-6.8","-5.0",0,"5295","7.9"
"7i",,,"98.7","113.9","138.9","15.5","-4.1","10.6","-4.6","112.0","1.24","29.1","-5.3","-5.0",0,"4240","2.6"
"7i",,,"74.5","93.2","138.8","8.3","-2.5","4.0","4.2","113.8","1.22","15.6","-9.6","-6.5",0,"5392","22.3"
"7i",,,"107.9","118.1","149.4","15.8","-0.3","13.2","11.3","119.1","1.25","33.7","-6.8","-7.2",0,"5808","16.2"
"7i",,,"108.1","117.7","149.2","16.3","-0.3","13.9","10.3","117.3","1.27","35.0","-8.3","-7.5",0,"6252","14.2"
"7i",,,"98.8","115.6","141.8","13.7","-3.8","9.0","-3.7","117.3","1.21","25.1","-4.5","-4.5",0,"3603","3.7"
"7i",,,"111.8","125.1","152.4","13.8","-2.9","11.8","-1.7","117.3","1.30","30.2","-6.3","-4.6",0,"4830","4.0"
"7i",,,"111.2","124.0","148.9","16.5","-0.8","13.9","5.3","113.8","1.31","33.9","-4.9","-3.4",0,"4767","8.2"
"7i",,,"95.3","112.1","143.2","11.5","-6.3","7.6","-11.4","111.1","1.29","23.0","-7.1","-4.2",0,"4423","-4.3"
"7i",,,"98.0","112.4","145.8","11.7","-2.8","8.4","-0.6","110.2","1.32","24.9","-9.1","-5.1",0,"5197","5.8"
"7i",,,"105.1","118.4","148.2","13.1","-2.9","10.3","-3.3","115.6","1.28","28.1","-6.7","-3.8",0,"4916","1.3"
"7i",,,"111.2","123.2","152.7","14.1","-1.7","12.7","1.0","118.2","1.29","32.3","-7.0","-3.9",0,"5910","4.3"
"7i",,,"103.0","117.7","145.8","13.4","-1.9","10.0","0.6","114.7","1.27","27.4","-7.5","-3.6",0,"4579","4.8"
"7i",,,"107.6","118.2","149.8","14.9","-1.0","12.6","7.9","115.6","1.30","32.7","-9.3","-6.7",0,"6049","12.8"
"7i",,,"84.5","102.2","137.5","10.5","-4.6","5.8","-4.1","112.0","1.23","19.7","-10.0","-5.8",0,"4497","4.4"
"7i",,,"106.3","119.0","150.7","13.3","0.4","10.9","10.1","118.2","1.27","29.4","-9.6","-5.4",0,"5584","12.9"
"7i",,,"112.8","125.4","155.1","13.2","-2.4","12.1","-0.2","115.6","1.34","31.0","-8.0","-3.9",0,"5701","4.6"
"7i",,,"107.3","117.5","151.3","14.4","-0.3","12.4","9.2","117.3","1.29","32.6","-12.1","-5.2",0,"6951","12.8"
