"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"124.5","139.8","158.3","15.2","-7.6","13.9","-15.8","112.9","1.40","30.9","-6.4","-7.7",0,"3412","-1.2"
"7i",,,"83.3","108.8","142.2","10.4","-9.6","4.8","-13.4","109.3","1.30","15.6","-8.2","-9.8",0,"2400","-2.2"
"7i",,,"127.5","143.3","163.8","13.4","-5.2","13.3","-5.0","119.1","1.37","30.0","-7.7","-7.6",0,"3799","6.6"
"7i",,,"33.7","90.5","145.0","2.3","-10.8","0.4","-5.3","112.9","1.28","2.9","-9.4","-9.1",0,"2931","15.5"
"7i",,,"130.4","147.1","165.2","13.6","-8.3","13.4","-17.5","120.9","1.37","29.6","-6.7","-8.5",0,"3452","-0.4"
"7i",,,"98.2","116.9","139.3","15.7","-5.4","9.6","-3.0","115.6","1.21","25.9","-4.9","-7.6",0,"2900","12.1"
"7i",,,"133.4","150.0","168.1","13.3","-5.1","13.9","-5.3","123.6","1.36","30.2","-7.5","-7.7",0,"3610","6.2"
"7i",,,"114.3","134.3","156.4","13.5","-6.3","9.7","-17.6","119.1","1.31","23.6","-4.3","-3.9",0,"2605","-13.0"
"7i",,,"136.4","151.0","167.0","16.0","-0.7","17.2","7.4","121.8","1.37","34.6","-6.3","-4.4",0,"3602","8.4"
"7i",,,"130.4","143.3","166.8","15.2","-1.4","16.7","11.5","125.4","1.33","35.9","-7.9","-7.3",0,"4744","14.6"
"7i",,,"125.7","141.5","160.4","14.7","-4.4","13.6","-2.8","118.2","1.36","30.4","-4.9","-6.2",0,"3472","7.4"
"7i",,,"123.4","139.3","160.6","13.5","-2.7","12.5","0.6","117.3","1.37","29.1","-7.6","-5.9",0,"3723","6.7"
"7i",,,"126.6","141.2","162.8","14.6","-0.4","14.3","12.0","119.1","1.37","31.9","-7.2","-7.0",0,"3958","14.7"
"7i",,,"72.7","108.5","152.1","5.1","-1.1","2.4","5.7","117.3","1.30","9.7","-8.9","-6.6",0,"4179","25.4"
"7i",,,"119.1","133.7","155.9","15.1","-1.6","13.3","7.0","118.2","1.32","31.1","-6.4","-4.9",0,"3887","12.8"
"7i",,,"113.4","129.7","153.3","13.6","-2.6","10.9","1.9","111.1","1.38","27.1","-6.9","-5.5",0,"3622","9.3"
"7i",,,"134.1","150.7","168.3","13.6","-4.6","14.2","-3.1","126.3","1.33","30.5","-8.7","-7.4",0,"3567","7.4"
"7i",,,"81.9","106.3","139.8","11.8","-4.6","5.2","-3.8","120.0","1.16","16.3","-6.4","-5.8",0,"1835","8.0"
"7i",,,"128.0","141.2","162.1","16.3","-2.0","16.9","8.1","120.9","1.34","36.1","-6.9","-7.3",0,"4346","13.0"
"7i",,,"131.0","146.0","162.6","15.6","-2.4","15.2","-4.7","120.0","1.35","32.0","-4.8","-2.7",0,"3317","-1.2"
"7i",,,"145.9","162.4","177.2","13.3","-6.2","15.9","-14.2","128.1","1.38","31.9","-7.3","-6.5",0,"3520","-0.1"
"7i",,,"82.3","112.1","140.8","12.6","-6.2","5.4","-6.7","124.5","1.13","16.5","-4.1","-5.2",0,"1341","6.7"
"7i",,,"87.0","111.9","156.4","6.8","-3.6","3.8","3.2","127.2","1.23","12.9","-8.2","-5.5",0,"3624","23.2"
"7i",,,"129.6","142.5","164.5","16.6","1.0","17.5","20.0","124.5","1.32","36.8","-7.3","-6.1",0,"4363","18.9"
"7i",,,"139.5","153.9","171.7","15.0","-3.2","17.6","3.7","122.7","1.40","35.5","-6.8","-7.0",0,"4065","10.2"
"7i",,,"149.9","164.0","180.0","15.2","-3.0","20.7","2.4","129.0","1.40","38.4","-7.4","-6.6",0,"4184","7.5"
"7i",,,"129.2","143.5","165.2","14.9","-2.1","15.5","11.0","123.6","1.34","33.7","-7.4","-7.9",0,"4226","17.0"
"7i",,,"98.7","115.2","146.3","13.6","-2.4","8.7","9.4","120.0","1.22","24.4","0.0","0.0",-1,"3668","27.3"
"7i",,,"23.3","55.6","116.1","4.8","5.9","0.5","1.1","128.1","0.91","5.6","-5.0","-9.2",0,"8401","-59.9"
"7i",,,"130.1","144.7","165.3","14.2","-3.6","14.9","1.6","124.5","1.33","32.6","-7.8","-7.4",0,"4106","9.7"
"7i",,,"107.5","124.0","152.2","12.7","-3.3","9.2","4.7","114.7","1.33","24.5","-8.7","-9.6",0,"3565","18.0"
"7i",,,"79.4","96.0","140.1","10.9","0.8","5.4","13.0","120.0","1.17","19.1","-9.6","-8.6",0,"4933","34.8"
"7i",,,"120.5","134.9","159.9","13.4","-4.8","12.5","1.7","122.7","1.30","29.9","-8.1","-7.5",0,"4269","14.0"
"7i",,,"111.0","129.1","154.0","13.3","-4.4","9.9","3.1","121.8","1.26","25.2","-7.3","-9.1",0,"3313","19.0"
"7i",,,"56.7","76.1","136.5","7.6","6.6","2.4","14.4","126.3","1.08","11.7","-8.0","-7.5",0,"5719","46.7"
"7i",,,"130.3","145.4","163.8","14.9","-3.9","15.1","-1.6","117.3","1.40","32.6","-7.7","-7.1",0,"3776","6.9"
"7i",,,"104.9","125.0","156.3","9.5","-7.2","6.9","-6.6","120.0","1.30","19.8","-8.6","-7.0",0,"3693","10.4"
"7i",,,"111.1","125.1","153.4","13.5","-6.8","11.1","-0.8","116.4","1.32","28.5","-8.5","-10.6",0,"4411","17.5"
"7i",,,"108.7","123.4","151.9","12.9","-3.0","10.2","4.6","119.1","1.28","27.0","-7.4","-5.9",0,"4292","15.0"
"7i",,,"103.6","122.1","147.9","13.2","-5.0","8.7","-2.6","116.4","1.27","23.4","-6.9","-8.7",0,"3076","11.3"
"7i",,,"110.9","128.3","155.8","11.7","-6.8","9.3","-3.7","119.1","1.31","24.4","-8.6","-8.8",0,"3801","13.9"
"7i",,,"131.4","145.3","168.6","14.3","-3.8","15.8","7.4","124.5","1.35","34.3","-8.7","-10.1",0,"4600","16.4"
"7i",,,"118.1","131.1","160.2","14.0","-2.3","13.0","12.5","122.7","1.31","31.4","-11.0","-10.3",0,"4835","21.8"
"7i",,,"131.7","146.1","166.3","14.9","-6.1","16.1","-1.6","125.4","1.33","34.5","-6.8","-8.7",0,"4237","12.4"
"7i",,,"129.7","144.4","167.8","13.3","-5.9","13.8","2.7","123.6","1.36","31.0","-9.3","-10.9",0,"4093","17.7"
"7i",,,"132.2","146.8","168.1","14.2","-5.7","15.4","1.4","125.4","1.34","33.4","-8.1","-10.6",0,"4243","14.8"
"7i",,,"130.9","144.2","167.1","14.5","-4.2","15.9","3.4","123.6","1.35","34.5","-7.7","-7.8",0,"4557","13.0"
"7i",,,"130.1","143.1","169.8","13.4","-5.0","14.9","5.8","124.5","1.36","33.4","-10.0","-12.1",0,"4896","17.8"
"7i",,,"136.0","150.6","169.3","14.6","-7.3","16.3","-6.4","125.4","1.35","33.9","-7.3","-9.7",0,"3964","10.3"
"7i",,,"125.1","138.2","165.3","14.2","-4.4","14.5","8.5","124.5","1.33","33.1","-9.1","-11.4",0,"4808","20.6"
"7i",,,"113.4","127.6","157.4","12.5","-5.1","10.8","3.4","120.0","1.31","27.8","-9.4","-10.3",0,"4590","18.4"
"7i",,,"122.3","136.1","161.0","14.4","-3.3","13.9","7.6","125.4","1.28","32.2","-8.5","-10.2",0,"4499","17.0"
"7i",,,"126.0","140.0","162.1","14.9","-3.2","15.0","6.0","123.6","1.31","33.5","-8.2","-8.5",0,"4325","14.1"
"7i",,,"40.8","69.6","146.0","5.4","9.1","1.1","11.7","128.1","1.14","7.3","-8.8","-10.9",0,"8595","65.7"
"7i",,,"12.1","80.8","138.5","2.1","2.9","0.1","0.9","126.3","1.10","2.2","-7.8","-9.0",0,"1081","75.7"
"7i",,,"32.3","61.3","123.3","5.7","-10.0","0.9","-8.1","118.2","1.04","7.2","-1.9","-12.0",0,"7854","-57.3"
"7i",,,"109.0","121.9","153.7","14.6","-2.9","11.7","12.4","125.4","1.23","30.3","-7.5","-12.1",0,"4903","26.9"
"7i",,,"121.1","138.1","158.9","14.1","-5.2","12.2","-0.0","124.5","1.28","28.5","-7.0","-9.7",0,"3447","14.2"
"7i",,,"67.0","83.5","138.4","10.0","6.1","3.9","18.3","121.8","1.14","16.0","-8.4","-8.7",0,"5718","48.4"
"7i",,,"38.2","60.0","127.1","6.5","-8.2","1.3","-8.9","126.3","1.01","8.5","-2.3","-14.3",0,"7103","-57.5"
"7i",,,"139.2","154.3","170.6","14.8","-8.3","16.7","-12.9","125.4","1.36","33.9","-6.5","-11.0",0,"3714","6.1"
"7i",,,"133.9","150.4","167.3","14.2","-8.6","14.7","-12.7","124.5","1.34","31.4","-7.1","-11.5",0,"3562","6.8"
"7i",,,"92.6","115.5","153.5","7.9","-10.9","5.0","-9.0","124.5","1.23","16.1","-9.7","-12.1",0,"3944","18.8"
