"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"sw",,,"46.6","52.8","83.8","29.1","-3.4","8.0","-2.1","77.1","1.09","37.1","-8.9","-2.6",0,"5811","0.7"
"sw",,,"32.8","39.4","67.8","31.4","-2.4","5.7","-1.0","74.4","0.91","36.4","-1.5","-3.5",0,"4754","-0.6"
"sw",,,"41.2","49.2","77.4","30.9","-4.2","7.3","-3.7","66.4","1.17","37.5","0.9","-5.5",0,"4297","-11.9"
"sw",,,"43.2","50.9","78.3","33.9","-2.9","8.7","-2.1","73.5","1.06","40.7","-1.3","-6.0",0,"3473","-3.9"
"sw",,,"24.7","45.7","78.7","11.9","1.1","1.4","1.3","59.8","1.31","13.8","-12.7","-5.1",0,"4152","16.3"
"sw",,,"31.4","37.6","66.8","30.2","0.9","5.2","0.9","78.9","0.85","34.9","-1.0","-1.0",5,"5226","1.1"
"sw",,,"27.0","34.5","61.9","29.1","1.9","4.1","1.2","66.6","0.93","32.8","-13.0","-5.3",0,"3550","-0.3"
"sw",,,"35.3","42.8","68.4","38.9","4.1","8.0","3.1","75.3","0.91","43.4","-1.6","-6.9",0,"748","3.0"
"sw",,,"32.5","38.1","67.8","30.5","-0.4","5.5","0.2","66.7","1.02","35.5","-10.3","-3.1",0,"5723","-0.5"
"sw",,,"40.4","48.4","76.5","30.3","-3.2","6.9","-3.0","78.9","0.97","36.3","-2.3","-3.0",0,"3410","-12.6"
"sw",,,"30.8","36.1","65.3","31.9","0.6","5.4","0.7","75.3","0.87","36.8","-5.1","-7.5",0,"6039","0.5"
"sw",,,"29.9","38.2","64.1","32.8","-9.1","5.2","-5.6","64.1","1.00","36.2","5.6","-1.4",0,"751","-32.0"
"sw",,,"31.5","38.5","67.9","28.1","-2.2","4.8","-1.1","64.8","1.05","32.7","-4.1","-0.7",0,"5218","-4.3"
"sw",,,"30.6","38.2","66.4","28.8","-3.1","4.7","-1.4","65.6","1.01","33.2","-6.7","-2.9",0,"4169","-2.4"
"sw",,,"28.2","35.0","63.4","29.1","-1.4","4.4","-0.4","66.2","0.96","33.2","-10.2","-0.5",0,"5083","-0.9"
"sw",,,"29.9","36.4","64.4","31.5","-0.9","5.2","-0.0","62.1","1.04","36.0","-4.9","-6.8",0,"4805","1.5"
"sw",,,"28.0","33.6","61.5","33.3","0.5","5.1","0.6","67.6","0.91","37.5","-8.8","-3.2",0,"5029","-0.8"
"sw",,,"28.5","35.4","65.4","26.2","-2.5","3.9","-0.8","67.4","0.97","30.3","-13.0","-7.5",0,"5655","2.9"
"sw",,,"36.5","44.1","72.2","30.7","-6.0","6.2","-4.4","65.7","1.10","36.0","0.6","0.2",0,"3389","-13.3"
"sw",,,"28.1","35.1","63.4","28.8","-0.2","4.3","0.2","64.4","0.98","32.8","-6.7","-2.4",0,"4595","-0.7"
"sw",,,"30.9","39.2","69.2","25.0","-3.4","4.1","-1.3","78.9","0.88","29.3","-10.8","-4.6",0,"5141","2.6"
"sw",,,"37.5","43.3","72.9","31.8","-1.5","6.8","-0.6","74.4","0.98","37.8","-3.1","-4.5",0,"5189","-0.6"
"sw",,,"26.0","32.7","60.1","30.5","-2.1","4.2","-0.6","64.8","0.93","34.2","-13.3","-5.8",0,"4433","0.1"
"sw",,,"29.8","40.6","67.7","25.2","-3.6","3.9","-1.4","52.0","1.30","29.5","-28.4","-4.1",0,"6258","2.6"
"sw",,,"35.9","44.1","73.6","26.9","-1.7","5.3","-1.0","65.9","1.12","32.2","-6.5","-2.3",0,"4642","-4.5"
"sw",,,"38.7","46.3","74.9","30.3","-1.3","6.6","-1.3","63.9","1.17","36.4","0.6","-0.2",0,"4416","-9.6"
"sw",,,"35.4","42.2","71.6","29.4","-0.4","5.8","0.3","73.5","0.97","34.9","-8.5","-5.1",0,"5149","1.9"
"sw",,,"36.6","42.6","72.7","30.1","-0.1","6.2","0.2","75.3","0.96","35.9","-4.7","-1.3",0,"5447","-1.8"
"sw",,,"30.2","35.8","63.9","34.4","4.5","5.8","2.8","75.3","0.85","39.1","-4.2","-3.3",0,"4882","0.6"
"sw",,,"34.1","39.9","69.9","30.0","-0.8","5.7","-0.2","72.7","0.96","35.3","-4.6","-2.0",0,"5865","-2.5"
