"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"4.8","47.6","74.0","2.3","14.2","0.0","1.2","94.1","0.79","2.3","-1.0","-1.0",5,"11374","-25.3"
"7i",,,"111.8","126.0","150.0","15.8","-6.6","13.3","-18.3","111.1","1.35","32.8","-10.1","-4.6",0,"4609","-10.1"
"7i",,,"108.3","120.8","145.8","17.3","-3.1","14.2","-5.2","117.3","1.24","34.9","-10.1","-8.4",0,"4954","-1.0"
"7i",,,"55.9","97.8","145.1","3.6","0.6","1.2","2.4","113.8","1.28","6.0","-7.0","-2.5",0,"3788","7.8"
"7i",,,"57.2","90.6","120.2","13.8","-6.8","3.8","-7.8","118.2","1.02","15.7","-3.5","-6.4",0,"329","-30.7"
"7i",,,"128.4","139.7","161.4","19.8","-3.1","21.5","3.1","121.8","1.33","42.3","-5.1","-5.7",0,"4792","9.2"
"7i",,,"104.4","119.1","142.8","16.4","-3.2","12.4","-0.9","120.9","1.18","31.9","-6.5","-5.7",0,"4541","6.2"
"7i",,,"115.5","126.4","151.2","18.4","-1.6","16.8","1.3","121.8","1.24","38.1","-7.7","-5.0",0,"5005","4.3"
"7i",,,"106.8","121.8","144.4","16.3","-3.8","12.5","-1.7","121.8","1.19","31.6","-6.3","-6.6",0,"4195","7.0"
"7i",,,"110.8","120.0","150.9","17.3","0.1","15.7","9.1","122.7","1.23","37.6","-7.8","-4.4",0,"6809","10.5"
"7i",,,"89.7","100.1","131.6","17.2","0.5","10.7","5.9","119.1","1.10","31.5","-8.2","-4.2",0,"5727","8.9"
"7i",,,"99.5","115.2","152.4","9.3","-2.2","7.0","2.0","121.8","1.25","21.5","-7.4","-4.0",0,"5150","9.1"
"7i",,,"96.6","109.6","137.1","16.6","-2.1","11.4","-0.7","119.1","1.15","31.5","-5.2","-3.8",0,"5029","3.2"
"7i",,,"39.1","53.9","110.8","12.0","15.8","2.4","6.4","122.7","0.90","15.5","0.6","-2.9",0,"12709","-69.3"
"7i",,,"39.2","49.2","88.2","15.9","-22.1","3.3","-13.8","121.8","0.72","20.9","-6.7","-8.4",0,"8786","5.1"
"7i",,,"108.3","113.7","152.3","20.0","1.0","17.9","-13.3","122.7","1.24","41.8","-8.1","-6.6",0,"9864","-23.2"
"7i",,,"102.9","113.1","146.9","14.6","0.0","11.9","2.3","121.8","1.21","32.4","-10.7","-5.1",0,"7589","1.7"
"7i",,,"43.1","65.9","117.2","6.2","-0.6","1.5","-1.3","119.1","0.98","9.4","-2.5","-5.2",0,"8393","-12.7"
"7i",,,"37.7","48.5","86.5","16.1","27.9","3.2","17.0","121.8","0.71","20.9","-4.1","-7.7",0,"7775","-13.9"
"7i",,,"43.6","57.3","109.6","8.6","-8.3","2.1","-7.3","120.9","0.91","12.7","-3.7","-8.4",0,"10358","-14.2"
"7i",,,"97.6","109.9","143.5","13.1","-5.2","9.5","-4.5","128.1","1.12","28.0","-9.3","-9.8",0,"6293","6.0"
"7i",,,"119.3","132.7","153.1","16.8","-4.1","15.2","-6.1","121.8","1.26","34.4","-6.0","-4.4",0,"4031","1.5"
"7i",,,"101.5","116.3","151.6","10.1","-4.5","8.0","-3.9","120.9","1.25","23.8","-8.5","-5.4",0,"5605","5.3"
"7i",,,"40.9","79.7","110.1","10.3","-6.5","2.0","-4.5","126.3","0.87","11.7","-4.2","-11.3",0,"812","-7.7"
"7i",,,"95.5","107.3","146.3","12.3","-3.9","9.1","0.8","120.0","1.22","27.9","-11.0","-8.3",0,"9254","11.4"
"7i",,,"72.0","115.4","157.9","7.7","-2.7","2.8","-2.5","125.4","1.26","9.8","-8.3","-8.3",0,"1158","0.1"
"7i",,,"134.4","145.2","170.2","16.7","-5.8","20.7","-13.2","129.0","1.32","41.1","-7.3","-7.4",0,"5562","-1.3"
"7i",,,"117.1","126.4","160.4","15.6","-4.0","16.4","-3.6","127.2","1.26","38.3","-9.2","-8.0",0,"8842","3.9"
"7i",,,"129.2","141.1","164.1","17.2","-4.2","19.2","-4.2","129.0","1.27","39.5","-6.4","-6.0",0,"5078","4.0"
"7i",,,"115.3","124.9","155.7","15.6","-3.1","15.0","2.6","126.3","1.23","35.9","-8.4","-6.3",0,"6373","9.6"
"7i",,,"121.3","133.4","156.8","17.6","-5.3","17.4","-2.5","130.7","1.20","38.1","-6.7","-9.6",0,"4936","9.0"
"7i",,,"120.9","128.6","162.1","17.8","-4.7","19.5","-12.4","129.9","1.25","42.0","-5.7","-4.6",0,"8498","-4.4"
"7i",,,"117.8","127.2","158.7","15.0","-3.6","15.3","1.0","131.6","1.21","36.1","-7.3","-6.6",0,"6657","8.7"
"7i",,,"120.9","129.4","159.4","18.9","-1.3","20.1","7.4","126.3","1.26","42.4","-8.7","-6.7",0,"6830","10.0"
"7i",,,"21.9","107.6","162.5","0.7","-5.5","0.1","-1.5","129.0","1.26","0.9","-7.1","-5.7",0,"3093","21.4"
"7i",,,"91.1","131.1","163.8","4.3","-0.2","3.0","-2.1","128.1","1.28","10.8","-6.0","-3.2",0,"4039","-7.6"
"7i",,,"110.3","125.0","146.6","16.4","-3.5","13.1","-4.6","126.3","1.16","32.1","-4.6","-3.5",0,"4053","1.2"
