"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"sw",,,"45.7","65.3","101.5","12.3","-1.3","3.0","0.7","82.5","1.23","16.6","-10.5","-6.4",0,"4422","9.7"
"sw",,,"20.8","36.1","97.4","7.2","-4.6","0.7","-2.8","85.2","1.14","8.2","-7.2","-11.7",0,"11945","-66.2"
"sw",,,"37.9","44.1","74.0","30.5","-0.3","6.5","0.7","85.2","0.87","36.6","-10.2","-9.2",0,"5331","5.1"
"sw",,,"53.5","69.8","102.5","15.7","0.1","4.6","2.4","87.0","1.18","21.9","-7.3","-6.4",0,"4524","10.6"
"sw",,,"40.2","45.5","75.6","32.9","0.5","7.7","0.7","83.4","0.91","39.6","-11.0","-4.2",0,"5569","-0.8"
"sw",,,"44.9","51.0","83.2","27.0","-2.5","7.0","-0.9","86.1","0.97","34.6","-8.2","-7.9",0,"7177","3.7"
"sw",,,"38.9","46.0","74.4","31.9","2.0","7.1","2.0","85.2","0.87","38.1","-8.5","-7.3",0,"4486","1.2"
"sw",,,"45.4","53.4","80.3","34.2","0.6","9.3","1.1","85.2","0.94","41.4","-4.7","-1.6",0,"3273","0.5"
"sw",,,"53.7","59.8","91.1","28.9","-4.6","9.5","-3.7","92.3","0.99","38.4","-11.7","-7.2",0,"6443","-0.1"
"sw",,,"54.3","60.8","90.9","31.0","-6.9","10.4","-6.6","87.0","1.05","40.6","-3.6","-10.0",0,"5273","-3.9"
"sw",,,"53.7","59.7","90.2","31.4","-4.5","10.5","-4.3","86.1","1.05","41.0","-2.3","-6.0",0,"5568","-3.6"
"sw",,,"42.9","48.2","78.8","32.2","-1.4","8.1","-0.5","81.6","0.97","39.5","-6.5","-8.2",0,"5826","0.5"
"sw",,,"40.7","46.3","77.0","30.7","3.2","7.2","3.1","86.1","0.89","37.6","-6.9","-6.4",0,"6069","3.7"
"sw",,,"38.2","44.3","75.2","28.5","0.1","6.1","0.6","79.8","0.94","34.7","-5.3","-3.3",0,"6347","1.6"
"sw",,,"43.1","48.7","79.8","30.3","1.1","7.7","1.6","86.1","0.93","37.8","-6.5","-4.5",0,"6914","2.6"
"sw",,,"39.2","46.6","77.3","26.8","1.9","5.8","2.2","78.9","0.98","32.9","-5.9","-4.7",0,"5210","4.8"
"sw",,,"46.7","52.8","83.6","30.0","0.8","8.3","1.8","100.4","0.83","38.0","-1.0","-1.0",8,"5955","4.4"
"sw",,,"39.2","45.3","76.7","27.9","-0.2","6.1","0.5","81.6","0.94","34.4","-12.5","-6.3",0,"7060","1.7"
"sw",,,"42.4","47.9","78.9","30.5","-0.6","7.5","0.2","81.6","0.97","37.8","-5.3","-6.6",0,"6647","1.4"
"sw",,,"29.7","36.5","62.8","45.2","7.8","8.5","4.7","83.4","0.75","49.6","-7.6","-9.5",0,"864","6.4"
"sw",,,"27.4","33.5","59.9","38.2","5.1","6.0","2.8","83.4","0.72","42.5","-12.5","-6.9",0,"3718","2.0"
"sw",,,"42.0","46.9","77.9","32.3","1.8","8.0","1.9","85.2","0.91","39.6","-9.7","-5.0",0,"6556","0.9"
"sw",,,"45.1","51.0","82.0","30.0","-2.1","8.0","-0.6","87.8","0.93","37.8","-9.2","-10.2",0,"6305","3.9"
"sw",,,"34.5","40.6","71.2","28.4","-1.8","5.4","-0.3","80.7","0.88","33.8","-11.3","-9.9",0,"6030","4.6"
"sw",,,"39.9","45.8","77.1","28.7","-1.9","6.5","-0.2","87.0","0.89","35.4","-9.9","-9.5",0,"7068","6.3"
"sw",,,"34.4","40.3","70.4","29.8","0.5","5.7","1.2","85.2","0.83","35.2","-12.0","-10.9",0,"5663","5.8"
"sw",,,"34.6","41.4","69.2","33.5","1.5","6.6","1.7","83.4","0.83","38.8","-11.0","-9.9",0,"3873","5.5"
"sw",,,"44.9","51.1","82.2","28.6","-4.4","7.5","-2.6","85.2","0.97","36.2","-6.4","-7.1",0,"6310","2.2"
"sw",,,"40.3","48.8","78.2","27.0","1.3","6.0","1.6","79.8","0.98","33.1","-8.7","-6.5",0,"4515","2.4"
"sw",,,"59.7","68.7","95.1","31.7","-2.6","11.8","-4.2","86.1","1.11","41.3","-1.1","-4.4",0,"3403","-10.7"
"sw",,,"35.4","49.1","83.5","16.3","1.8","3.0","2.3","81.6","1.02","20.4","-17.2","-11.2",0,"5458","10.0"
"sw",,,"34.1","40.1","68.5","33.8","1.6","6.6","1.4","85.2","0.80","39.3","-15.2","-5.8",0,"4832","0.7"
"sw",,,"39.8","45.3","75.8","31.4","-1.9","7.2","-0.6","80.7","0.94","38.1","-6.3","-9.6",0,"6094","2.5"
"7i",,,"108.1","121.2","148.2","15.6","-1.2","12.6","7.1","112.9","1.31","32.0","-7.2","-7.7",0,"4876","12.9"
"7i",,,"94.7","106.3","142.3","13.3","-0.1","9.3","9.1","112.0","1.27","27.9","-1.0","-1.0",5,"6676","15.7"
"7i",,,"84.5","101.8","144.1","9.3","-1.4","5.4","7.7","116.4","1.24","19.0","-9.8","-6.4",0,"5875","22.8"
"7i",,,"104.4","115.5","147.7","15.2","-3.1","11.9","7.1","117.3","1.26","31.5","-7.3","-10.9",0,"5613","19.1"
"7i",,,"110.6","121.4","155.4","14.3","-2.5","12.8","9.7","116.4","1.33","33.0","-9.2","-11.2",0,"6793","19.0"
"7i",,,"109.1","121.8","152.6","13.8","-3.3","11.7","4.9","115.6","1.32","30.5","-5.3","-11.8",0,"5401","15.4"
"7i",,,"111.2","121.1","152.7","15.7","-2.2","14.0","8.5","115.6","1.32","34.6","-7.4","-9.4",0,"6121","16.3"
