"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"126.1","134.5","165.5","17.8","-7.2","20.7","-8.0","127.2","1.30","42.6","-4.3","-8.3",0,"7186","6.8"
"7i",,,"113.8","124.2","150.8","18.2","-5.4","16.7","-6.9","125.3","1.20","38.4","-3.8","-7.8",0,"5610","3.3"
"7i",,,"116.9","123.1","156.5","20.4","-3.6","21.0","-0.8","124.9","1.25","44.1","-3.6","-7.5",0,"8091","6.2"
"7i",,,"105.7","114.7","147.4","16.7","-1.1","14.0","7.5","121.8","1.21","35.6","-3.4","-4.1",0,"7049","12.5"
"7i",,,"117.3","126.5","157.4","17.0","-7.3","17.0","-2.8","129.9","1.21","38.7","-4.1","-9.5",0,"6776","13.1"
"7i",,,"123.9","134.5","158.0","19.2","-6.1","19.9","-15.1","128.1","1.23","41.1","-2.2","-6.9",0,"4972","-4.1"
"7i",,,"104.1","113.4","146.6","16.0","-2.4","13.0","5.8","125.4","1.17","34.1","-5.9","-6.8",0,"6823","14.0"
"7i",,,"20.7","89.7","149.6","2.4","-0.7","0.2","0.5","122.7","1.22","2.6","-1.0","-1.0",5,"1713","52.6"
"7i",,,"116.3","133.3","146.7","19.7","-8.4","14.8","-14.7","124.5","1.18","32.4","-4.7","-7.9",0,"2413","1.8"
"7i",,,"123.9","137.3","158.5","16.3","-10.0","16.2","-26.1","121.8","1.30","35.8","-2.8","-6.9",0,"4403","-7.6"
"7i",,,"117.8","131.1","150.4","18.0","-6.7","15.6","-13.7","122.7","1.23","34.8","-2.1","-7.7",0,"3721","-2.0"
"7i",,,"117.5","128.6","153.3","18.2","-5.4","17.2","-14.5","119.1","1.29","38.4","-2.6","-5.0",0,"5033","-6.5"
"7i",,,"123.4","130.7","161.9","21.2","-2.8","23.7","0.9","127.2","1.27","46.1","-5.0","-5.9",0,"7171","5.8"
"7i",,,"118.9","126.0","157.4","21.2","-2.4","22.3","-7.5","126.3","1.25","45.2","-5.0","-5.6",0,"7417","-4.6"
"7i",,,"115.6","124.0","152.4","21.0","-1.3","20.4","5.2","129.0","1.18","43.3","-5.2","-5.6",0,"6286","7.9"
"7i",,,"92.0","132.0","164.8","4.3","-3.6","3.1","-0.9","127.2","1.30","10.8","-5.5","-7.9",0,"4027","9.6"
"7i",,,"114.6","122.1","155.5","17.5","-3.5","17.2","-7.8","125.4","1.24","39.7","-6.8","-7.7",0,"8178","-2.9"
"7i",,,"121.2","128.6","160.0","20.5","-3.8","22.2","-12.0","125.4","1.28","44.9","-5.3","-5.4",0,"7349","-6.0"
"7i",,,"122.2","131.4","161.2","16.4","-5.6","17.8","-6.7","125.4","1.29","39.3","-6.4","-6.8",0,"6665","4.3"
